,french,wolof
0,Il n'a pas encore été,Demagul
1,Il n'a pas encore été voir,Seeteegul
2,Il ne s'est pas encore substitué à,Wuutóogul
3,Il n'a pas encore pris de contacts,Giséegul
4,Homme n'est pas mauvais !,Nit bonul !
5,L'homme n'est pas mauvais !,Nit bonul !
6,Quelqu'un est parti !,Nit dem na !
7,Homme est parti !,Nit dem na !
8,Un homme est parti !,Nit dem na !
9,J'ai vu lion.,Gis naa gaynde.
10,J'ai vu un lion.,Gis naa gaynde.
11,C'est un homme.,Nit la.
12,Cet homme près de moi.,Nit kii ci sama wet.
13,Cet homme là près de toi.,Nit kookuu ci sa wet.
14,Tu vois cet homme là-bas ?,Gis ŋga nit kale ?
15,"Tu sais, cet homme ?",Gis ŋga nit kookale ?
16,Tu vois cet homme là ?,Gis ŋga nit kee ?
17,"Tu sais, cet homme là ?",Gis ŋga nit kookee ?
18,"Tu vois, cet homme là ?",Gis ŋga nit kookee ?
19,J'ai vu l'homme.,Gis naa nit ki.
20,J'ai vu la femme.,Gis naa jigéen ju.
21,Regarde ce lutteur.,Xoolal mbër mu.
22,Regarde ce semblant de lutteur.,Xoolal mbër mu.
23,Regarde cette aumône.,Seetal sarax su.
24,Tu as vu l'homme ?,Gis ŋga nit ka ?
25,"Tu as vu, auparavant, l'homme ?",Gis ŋga nit ka ?
26,Tu connaissais la jeune fille ?,Xamoon ŋga jaŋx ba ?
27,Tu reconnais cet individu-là ?,Xammee ŋga waa jooju ?
28,Tu avais reconnu la femme ?,Xammeewoon ŋga jigéen jooju ?
29,Cet homme a étudié,Nit kii jaŋg na
30,Ces jeunes gens sont sages.,Xale yile yarunañu.
31,Je parle de cette dame que voilà !,Jigéen jale laa wax !
32,Je parle de ce petit.,Xale buu laa wax.
33,Cette femme-ci n'est pas partie.,Jigéen jule demul.
34,Ces enfants que voilà ne sont pas sages.,Xale yule yaruwuñu.
35,Tu connais cet enfant là-bas ?,Xam ŋga xale bee ?
36,Cette dame là-bas.,Jigéen jale.
37,C'est ces livres là-bas que j'ai achetés !,Téere yee laa jënd !
38,Cause avec cet homme qui est à côté !,Waxtaanal ag nit kookii ci sa wet !
39,Tu vois ces femmes-là ?,Gis ŋga jigéen ñooñii ?
40,Nourris cette vache-ci !,Mayal nag wile !
41,Tu connais cet homme-là ?,Xam ŋga nit kookuu ?
42,Tu as vu ces jeunes gens ?,Gis ŋga xale yooyule ?
43,Je parle de la personne qui est sortie !,Nit kookuu génn laa wax !
44,Tu avais vu cette femme ?,Gisóon ŋga jigéen joojule ?
45,Je connaissais cet individu-là !,Xamoon naa waa joojee !
46,J'avais reconnu cette dame-là !,Xammeewoon naa jigéen joojale !
47,J'ai vu l'enfant.,Gis naa xale ba.
48,Je parle de cet homme-ci.,Kile nit laa wax.
49,Ce n'est pas là une belle parole !,Jile wax rafetul !
50,Cet homme là-bas que tu vois,Kee nit ŋgay gis
51,C'est ces livres-là qu'il m'a donnés.,Yee téere la ma jóox.
52,J'ai vu un mouton.,Gis naa am xar.
53,J'ai aperçu un homme.,Séen naa ak nit.
54,J'ai aperçu un homme.,Séen naa aw nit.
55,J'ai aperçu des gens.,Séen naa ay nit.
56,Quel homme s'est égaré ?,Nit kan a réer ?
57,Quel mouton s'est égaré ?,Xar man a réer ?
58,Quel cheval s'est égaré ?,Fas wan a réer ?
59,Quelle femme s'est égarée ?,Jigéen jan a réer ?
60,Quelle clé s'est égarée ?,Doom ban a réer ?
61,Quelle chose s'est égarée ?,Lëf lan a réer ?
62,Quelle jeune fille s'est égarée ?,Ndaw san a réer ?
63,Quelles personnes se sont égarées ?,Nit ñan ñoo réer ?
64,Quels moutons se sont égarés ?,Xar yan ñoo réer ?
65,Quels chevaux se sont égarés ?,Fas yan ñoo réer ?
66,Quelles femmes se sont égarées ?,Jigéen ñan ñoo réer ?
67,Quelles clés se sont égarées ?,Doom yan ñoo réer ?
68,Quelles choses se sont égarées ?,Yëf yan ñoo réer ?
69,Quels couteaux se sont égarés ?,Saatu yan ñoo réer ?
70,Tu parles de quel mouton ?,Xar moomu man ŋga wax ?
71,Tu parles de ce mouton ?,Xar moomu man ŋga wax ?
72,Quel mouton ?,Xar mii man ?
73,Quels moutons avais-tu achetés ?,Xar yii yan ŋga jënd ?
74,C'est ces moutons que tu avais achetés ?,Xar yii yan ŋga jënd ?
75,Quels moutons ?,Xar yile yan ?
76,Que j'attrape quelles vaches ?,Ma japp nag yee yan ?
77,Qu'il attrappe quelles vaches ?,Mu japp nag yooyu yan ?
78,Tu parles de quelle maison ?,Boobu néeg ban ŋga wax ?
79,Tu parles de quelle maison ?,Bii néeg ban ŋga wax ?
80,Tu parles de quelle maison (ici) ?,Bii néeg ban ŋga wax ?
81,Vous parlez de quelle dame ?,Jile jigéen jan ŋgeen wax ?
82,Vous parlez de quelle dame (ici) ?,Jile jigéen jan ŋgeen wax ?
83,Quel cheval veux-tu ?,Woowale fas wan ŋga bëgg ?
84,Quel cheval veux-tu ?,Yooyale fas wan ŋga bëgg ?
85,Quels amis sont arrivés ?,Xarit yan ño ñëw ?
86,Tout le mouton,Xar mépp
87,Toute la chambre,Néeg bépp
88,Toute la maison,Kër gépp
89,Tout le propos,Wax jépp
90,Tout ce discours,Wax jépp
91,Fais sortir tout homme que tu vois !,Génnéel képp nit koo gis !
92,Fais sortir tout mouton que tu vois !,Génnéel mépp xar moo gis !
93,Fais sortir tout cheval que tu vois !,Génnéel wépp fas woo gis !
94,Fais sortir toute vache que tu vois !,Génnéel bépp nag woo gis !
95,Honore tout homme !,Teralal béppu nit !
96,Le mouton en entier.,Xar mi mépp.
