french,wolof
góor gi dem,le Monsieur est parti
mu dem,il est parti
mu dem,mais il est parti
ma ngii dem,voilà qu'il est parti
góor ñi deekoon nanu,les gens en eussent été morts
maa demulkoon,c'est moi qui n'aurais pas été
góor demul,homme n'a été
góor demul,un homme n'a été
góor demul,nul n'a été
góor gi demul,l'homme n'a pas été
xar yu ñuul dinañu feeñ,les moutons noirs seront retrouvés.
góor gi moo demulwoon,c'est l'homme qui n'a pas été
"dem, rafetoon na","avoir été, eût été bon"
sarxe baaxkoon na,l'aumône eut été une bonne chose
man dem në,moi j'ai été
man mii demuma,moi-même je n'ai pas été
kooku du nit,celui-là n'est pas sain d'esprit
maa demoon,c'est moi qui ai été
më õgile demkoon,voilà que j'aurais été
kenn demul,nul n'a été
yéen dem õgeen,vous avez été
ku dem ?,qui a été ?
ñooñii dunu demi,ceux-là n'iront pas
wóoy ! taxul mu yabbi,Aïe ! ne suffit pas pour qu'il lâche
dem naa doyunu,« j'ai été » ne nous suffit pas
Formes verbales,elles sont accompagnées de modalités ou de
demkoon doon na ma fi war,j'ai failli être dans l'obligation d'y
bëgguma du yar,je ne veux pas est une forme impolie
góor dem na,un homme est parti
góor ñi dem nañu,les hommes sont partis
seen gaynde gi xar la,leur lion c'est un mouton
seni gaynde yi ay xar lañu,leurs lions c'est des moutons
nit ag gaynde duñu dëkkóo,homme et lion ne cohabitent
nit ag gaynde duñu dëkkóo,homme et lion ne peuvent cohabiter ensemble
Liggéeykat yi man ag yaw la,les travailleurs c'est toi et moi
liggéeykat yi ñun la,les travailleurs c'est nous
liggéeykat ya xale ya la woon,les travailleurs c'était les enfants
dama bëgg dem,c'est que je veux partir
dafa bëgg xaalis,c'est qu'il veut de l'argent
dafa bañ rewande,c'est qu'il déteste l'impolitesse
bëgg na gëléem,il aime le chameau
gis na ndaw,il a vu un messager
góor gi gisul xale boobale woon,l'homme n'a pas vu cet enfant-là
négël xale bu rafet bi,attends la belle jeune fille
góor gi bëgg na di dem,l'homme veut partir de temps à autre
sërin bi bëgg na mayewoon alalam ji ba mënkoon yalwaan tay.,le maître souhaiterait avoir donné toute sa fortune pour pouvoir demander aujourd'hui l'aumône.
góor gi ragal na juubuwoon,l'homme craint d'avoir interrompu son jeûne par inadvertance.
ndaw si réccu na amoon.,la femme regrette d'avoir eu une fortune.
ragal naa joxoon ka doom bi,je crains de lui avoir donné la clé
góor gi bëgg na kii,l'homme aime celui-là
góor gi gis na kookale,l'homme a vu cet autre-là
yaw xamuloo kenn,toi tu connais personne
seetal beneen bi,cherche l'autre
góor gi nee mi õgi fi,l'homme affirme qu'il est là
góor gi gisu la,l'homme ne t'a pas vu
góor gi gisu la woon,l'homme ne t'avait pas vu
góor gi gisóon na la,l'homme t'avait vu
góor gi giskoon na la,l'homme t'aurait vu
góor gi moo la gisul,c'est l'homme qui ne t'a pas vu
góor gi di la gis,l'homme te voit
góor gi daan na la gis,l'homme te voyait
góor gi daawu la gis,l'homme ne te voyait pas
góor gi giskoon na la,l'homme t'eût vu
góor gi nee na ma  ci biti,l'homme m'a dit  dehors
waaji nee,mi õgi ci biti
nil  wóoy,dis  « woy » !
nil,wóoy !  crie !
góor gi ni  dawleen,l'homme de dire  fuyez
jox na nit ki dara,il a donné à la personne quelque chose
may na waa ji xaalis,il a offert à l'homme de l'argent
deõk na jigéen ji walis,il a confié à la femme une valise
wax na Musa dara,il a dit à Moussa quelque chose
góor gi may na Bacc,l'homme a fait un cadeau à Bathe
joxal téere bi doomu nit ku yaru kooku,le livre à ce fils bien élevé
deõkël lëf li kenn ki,confie la chose à l'un
deõkël lëf li kenn ki,confie la chose à l'un d'eux
deõkël lëf li kenn ki,confie la chose à l'un d'entre eux
jox na la dagit wi,il t'a donné le morceau
abalu la xalima gi,il ne t'a pas prêté la plume
wutëli leen gaal,va leur chercher une barque
joxoon na la juuti bi,il t'avait remis la taxe
joxu la woon juuti bi,il ne t'avait pas remis la taxe
duma ka ka jox,je ne le lui donnerai pas
wattaliwuma la ka woon,je n'avais pas été te le cueillir
gis õga lan ?,tu as vu quoi ?
aw gaynde ci biir néeg bi,un lion dans la chambre
wax na ba mi õgi,il a tant parlé que le voilà
laajal ndax mi õgi fi,demande s'il est là
sindax bi ci foofuu,un lézard par là
kañ õga ka gis?,quand l'as-tu vu ?
tay ci õgoon,aujourd'hui dans la soirée
bëgg õga lan ?,tu veux quoi ?
tuuti xaalis ci yaw,un peu d'argent de toi
kañ ñgay dem ?,quand pars-tu ?
"tay, ci subë","aujourd'hui, le matin"
tay ci subë,"aujourd'hui, le matin"
àna õga ?,où es-tu ?
maa õgi ci biti,me voilà à l'extérieur
maa õgi ci bir kär gi,je suis dans la maison
kooy set ?,qui cherches-tu ?
