wolof,french
toogandi,attente
kuu,celui-ci tout près
Gis õga nit kee ?,Tu vois cet homme là ?
Gis naa sa xarit yépp !,J'ai vu tous tes amis !
dag,serviteur
kër-kër,fracas
Yenn xar yooyuu laa wax !,Je parle de ceux-là !
Looy def ?,Que fais-tu ?
oos,maigre
mënin,capacité
Xam naa nit ñi dul Sërin !,Je connais les gens qui ne sont pas des Sérignes !
Li õga wax loolu.,Tu as dit cela même.
fule,là tout près de toi
Xar mépp,Tout le mouton
Jigéen ji bëgg na õgeen am waaye it õgeen di maye.,La dame voudrait bien que vous ayez des richesses mais aussi que vous donniez.
Kii dafa demkoon,Celui-ci allait partir
Ma õgii dem.,Me voilà parti.
araf raññee,prolongement morphologique
pas,petit cheval
"Yaa õgi, mi õgi","Te voilà, le voilà"
Demal ba ñëw !,Va et reviens !
leqaliku,s'épanouir
Gis naa Samba.,J'ai vu Samba.
Gis naa ñooñale woon.,J'ai vu ceux-là.
xajj,séparer
noppi,se taire
yi,auxquels
bokkaan,posséder en commun
Nit doõõ õga !,Tu es un homme simplement !
Yooyale deey bëggu leen !,"Ceux-là, il ne les apprécie guère !"
kenn ku góor ki,un mâle
Yeena doon dem,C'est vous qui alliez partir
Raw,village sénégalais
te nak,et sans que
xaajoo,se partager
"Noona góor gi seet lëf ki, seetat mbir mi.","Alors l'homme reconsidéra la chose, reconsidéra l'affaire."
Waxu la.,Il ne te parle pas.
jëf,fait
lak,tranche médiane de poisson
Ci teen boobu bënn,Dans ce puits qui coule
Xale yee ñaan walla mag née bëgg õga dem ?,Ce sont les enfants qui ont demandé ou les adultes qui ont voulu que tu partes ?
duggonte,s'acquoquiner
Nit la !,Il a été quelqu'un !
luu,ceci
Du woon dem,Il ne serait pas parti
Séen naa ay fas.,J'ai aperçu des chevaux.
Xalel õga !,Tu es jeune !
Dil nit !,Sois un être de raison !
abal,prêter
Taxawaayu kooka sax taxul nëw,La présence de celui-là même ne justifie pas qu'on vienne
goreedi,indignité
Nit ki ñëw la.,C'est l'homme qui est venu.
bóoli,grand plat
Soo demee góor gee ni nit la !,Peut-être est-ce l'homme qui a dit qu'il est sain d'esprit !
xar-xar,fente
mile,celui-là
Xanaa doo dem ?,Tu ne partiras donc pas ?
ëgg,vent
Gis õga nit ka ?,"Tu as vu, auparavant, l'homme ?"
Na õgeen def ?,Comment allez-vous ?
soppi,changer
"Mi õgi, benn la ci ndàyam.","Le voilà, il est unique en son genre."
Li mu waxoon la !,C'est ce qu'il a dit !
Joxal liggéey bi kenn !,Donne le travail à un autre !
Yeneen fas laa bëgg !,C'est d'autres chevaux que je veux !
ceetu,se regarder dans le miroir
dar,écorché
jii,aller semer
xaj,chien
naan,comment
Sa yay nee soo yeggee dana dellusi.,Ta mère promet de revenir si tu vas jusqu'au bout.
Gis õga jigéen ñeneen ñooñu ?,As-tu vu ces autres femmes ?
Nit doõõ tiitëlu ko.,Un homme tout simplement ne saurait l'effrayer.
Moo di Lawbe bi.,C'est le Laobe.
fas,cheval
Yéen ñépp laa wax !,Je parle de vous tous !
yooyii,celles-ci
Ñenn nit ñooñii laa wax !,Je parle de ces autres individus !
Nit ki dóor na nag wi ak bant.,L'homme a frappé la vache avec un bâton.
Dëkku béppu Séeréer set na !,Le village de tout Sérère est propre !
Õgoor dem.,NGor est parti.
Ay bët yu rafet !,De beaux yeux !
looluu,ceci
maccaatu,lécher
Kan dem na ?,Qui est parti ?
Góor gi née na mi õgi fi soo demee.,L'homme dit qu'il serait peut-être là.
Jigéen jale laa wax !,Je parle de cette dame que voilà !
loolu woon,cela qui fut
weccit,petite monnaie
Ñaata õgeen ?,Combien êtes-vous ?
waaye de,mais (avec menace)
Gëñ,Dents
wërsëglóo,bénéficier de quelque chose
Yaa daan dem,C'est toi qui avais l'habitude d'aller
Ci foofu õga jëm !,Là où tu vas !
nile,de cette
Samay xarit !,Des amis à moi !
Gis õga nit ki woon ?,Tu as vu l'homme dont il fut question ?
Dil nitu réew mi !,Sois un homme de ce pays !
Góor gi may na Bacc.,L'homme a fait un cadeau à Bathe.
siit,couler
Ma japp nag yee yan ?,Que j'attrape quelles vaches ?
Waxtaanal ag nit kookii ci sa wet !,Cause avec cet homme qui est à côté !
ameef,aoriste
