groups
paq : coiffure de jeune fille
baq : terre humide
matt : bois de chauffage
patt : borgne
up : fermer
um : porter malchance
bokk : posséder ensemble
mokk : être pulvérisé
lam : bracelet
lap : se noyer
amal : trouver quelque chose
abal : prêter
natt : mesurer
gëm : croire
gën : être meilleur
fac : soigner
pac : soin
suuf : sable
suup : teindre
daf : souder
dap : rejoindre
tef : chevreau
def : faire
topp : suivre
nopp : oreille
wàt : traîner
wàn : montrer
wàtal : traîner (pour quelqu'un)
nëbb : cacher
dëbb : piller
fad : ranger
fan : où ?
cëgg : grappe
dëgg : piétiner
nar : mentir
ñar : enduire
wàñ : tordre
car : branche
jar : se vendre bien
ñam : nourriture
daj : atteindre
daj : toucher
dañ : caracoler
xaajoo : se partager
õar : rugir
daõ : tendu
daõal : tendre
daõal : rendre tendu
dañal : caracoler
kan : qui ?
gan : hôte
kar : guetter
dak : serviteur
dok : couper
doc : pierre
gabb : piocher
õabb : tenir à bout de bras
dag : serviteur
xar : mouton
dan : tendu
dax : beurre
lax : fané
lak : tranche médiane de poisson
xor : caillou
gor : homme libre
dox : marcher
dog : couper
siit : couler
siit : suinter
tiit : avoir peur
tiis : inquiétude
tiit : peur
fasu : se nouer
fatu : s'abriter
fatu : s'enfermer chez soi
saf : être piquant
xaf : coudre deux bandes d'étoffe
tase : se coincer
tafu : s'aplatir contre une paroi
nal : presser
lal : étendre
fal : élire
far : amant
lal : lit
tal : avoir le temps
fat : ranger
daaw : année dernière
fad : abriter
fad : ranger
rax : mélanger
nax : tromper
far : effacer
daf : souder un trou
dad : tailler
dad : polir
wal : couler
siiwal : publier
wax : parler
bax : bouillir
daw : courir
dab : rejoindre
wàl : souffler
pàl : élection
yëf : choses
jëf : fait
jëf : acte
faj : soigner
lëf : chose
wày : chanter
wàl : moudre
wañ : tordre
yaw : toi
ñaw : coudre
mpar : espèce de cheval
par : allié
sàmp : planter
sap : chanter (coq)
mpar : variété de cheval
mar : avoir soif
xam : savoir
mbaal : filet
baal : pardonner
tëmb : flotter
tëb : sauter
mbay : diminutif de Babacar
may : donner
xamb : avarié
ntëng : sorte de puits
tëng : femelle d'animal
sant : remercier
ndab : récipient
dab : rattraper
ban : boue
bant : baton
ndaw : envoyé
naw : souffle
and : sorte de fourneau
an : enlever des ordures
Ndar : Saint-Louis
nar : part
an : enlever (ordures)
and : fourneau en argile
xac : chien
xañc : écorce
sañc : bâtir (une ville)
car ou ñcar : branche
njël : aube
jël : prendre
doñj : boule de couscous
doj : pierre
ñjaq : canari
ñaq : sueur
tak : se poser
taõk : pied
laõk : refuser
tax : calebasse
taõx : puiser
saxal : faire pousser
saõxal : brisures de mil
sop : étourdi
sopp : trouver gentil
nëb : pourri
nëbël : pourrir
nëbbël : cacher pour quelqu'un
gëmm : fermer les yeux
fatt : boucher
fetal : fusil
fettal : faire éclater
fadd : abattre
wànn : avaler
tac : soigner
facc : éclater
xaj : chien
xajj : séparer
xajal : faire de la place à
wàññ : compter
takk : s'enflammer
mag : grand
magg : grandir
dagu : adopter une atti-
dagguu : pourboire
taq : se tâcher
jeqi : remuer
wàl : piler
wàll : secours
tali : talus
talli : s'étendre de tout son long
coy : variété d'oiseau ; coyy : rouge écarlate ; noyyi : respirer
sawu : urinoir ;
sawwu : Est
Jaw ; Diaw : nom de personne ; jaww : atmosphère
taax : bâtiment
fab — fap : prendre
fat — fad : ranger
fac — faj : soigner
tak — tag : se poser
fap — fab : prendre
fabal : prendre pour quelqu'un
fatal : ranger pour quelqu'un
faji : aller soigner
dek — deg : épine degu àll : épine de brousse
tur : nom
tuur : verser
ku : quiconque
kuu : celui-là
kuu : que voilà
tus : rien
tis : éclabousser
muur : recouvrir
miir : avoir des vertiges
kuu : célui-là devant
kii : celui-ci
boli : gosier
bóoli : grand plat
jog : se soulever
jig : porter bonheur
suup : teindre à l'indigo
sóop : plonger
tóoy : mou
tooy : humide
wor : trahir
woor : jeûner
gor : noble
goor : s'affaisser
kor : trahison
ker : ombre
noor : saison sèche
neer : mal de mer
wol : piler
fàr : effacer
jaõg : dent mal plantée
jàõg : étudier
xamb : attiser un feu
xàmb : lieu de culte
nit : homme
niit : éclairer
ki : lequel
dikk : venir
gisi : aller voir
gise : se concerter
géer : homme de caste
giir : lignée
giir : descendance
wér : être guéri
wéer : adosser
wét : fibre de coton
wet : côte
weer : lune
xer : berge
xer : rivage
xeer : pierre
wer : ver de terre
fer : s'évaporer
xaar : attendre
war : monter
waar : étonner
jaar : passer par
tàkk : s'allumer
takk : attacher
jaõg : dent de travers
ëgg : vent
agg : arriver
fër : avoir une dysenterie
faar : côte
bër : être en vacance
bëër : beurre
sóox : chair
góox : absorber une forte gorgée
iñaan : envieux
egg : arriver
añ : déjeuner
aa aay : avare
aa aajo : serviabilité
ub : fermer
obali : bailler
om : être maigre
uu uuf : prendre sur ses genoux
óom : genoux
oos : maigre
ëpp : dépasser les limites
ëpp : excessif
juddu : naissance
ndimo : tissu
lóxó : bras
uu kuu : celui-ci
uu kuu : tout près
gisóo : se concerter
woddoo : se couvrir avec
ki : cet
ki : que voici
téeré : amulette
tere : interdire
dara : rien
ree : rire
daa : encre
muumë : muet
wér : guérir
wër : faire le tour
ée ci-dessus dans wéer : adosser
géer : homme de noble caste
gis óo : voir ensemble
baax donne baaxal : rendre bon
tuur donne tuurul : faire une offrande à une divinité.
dem-ag-ul : il n'a pas encore été
seet-eeg-ul : il n'a pas encore été voir
wuut-óog-ul : il ne s'est pas encore substitué à
gis-éeg-ul : il n'a pas encore pris de contacts
taf : coller
taf : afficher
kër : maison
rëbb : chasser
bañ : refuser
dóor : frapper
jëf : acte
laaf : aile
mën : pouvoir
ñaaw : vilain
sëf : change
yar : éduquer
mp mpal : élection
mb mbay : culture
nd ndof : folie
ñjëg : prise
õgëm : croyance
sas : charge
taal : allumer
fày : éteindre
mp sàmp : planter
mb lamb : tâter
gént : rêver
lañc : bouchée
õgëñj : indigo
taõg : chaud
saõx : il y a un moment
bopp : tête
saq : grenier
ww jaww : atmosphère
gajj : scarifier
dagg : couper
wall : secours
tamm : avoir pris l'habitude de
tann : choir
wàõõ : avarié
sabar : tam tam
ndemin : façon d'être
safara : feu
ñappati : s'embourber
satala : récipient
ganaar : poulet
Idi : nom
Kajoor : Prov. du Sénégal
kañaan : envie
sagar : torchon
laõaay : exil
saxaar : fumée train
bala : demander pardon
xasaw : puer
faral : prendre partie pour
dawal : conduire
aaye : interdire
sempi : déraciner
ñjambaas : rebord
õgenté : baptême
andaar : unité de mesure
tañcu : se coincer
xañjar : cuivre
noppi : se taire
wattu : éviter
tëccu : se pincer
ñakku : être vacciné
laqu : se cacher
libbët : être anémié
addu : répondre
dajji : défoncer
jéggi : enjamber
wàllu : secourir
sannar : nom
tammal : habituer
Daõõar : nom
saññi : déboucher
i-ñaan : jaloux
a-ñaan : jaloux
aa-ye : interdire
u-rus : or
óbbëli : bailler
om-meeku : s'essuyer la bouche
uu-fu : se blottir
oo-sal : faire maigrir
ë-ñu : se retrousser les manches
it-te : obligeance
ub-bi : ouvrir
at-té : séparer
at-té : juger
ok-katu : se gratter
ëñ : retrousser
itt : frapper
ëmb : envelopper
app : limite
opp : maladie
ëndi : amener
ndaa : canari
testën : plante de pied
gabbkat : piocheur
dee-i : aller mourir
ji-u : semence
ree-i : aller rire
dee-o : mourir en groupe
dee-o ÷ deewoo : mourir ensemble
ji-i ÷ jiyi : aller semer
dée-al : mourir pour
dee-al : trouve en deewal un substitut plus courant.
juu-tu : se renverser
ji-tu : devancer
do-goo : se brouiller définitivement
téeré : livre
dug-go : frayer ensemble
ndu-góor : fruit
dawal : faire courir
sa-gar : torchon
ree-aa-le : rire en même temps
de-aa-le : mourir en même temps
ree-waa-le : feindre en riant
ree-waa-le : rire en même temps de
sa-waa-le : expliquer en même temps
ji-yaa-le : semer en même temps
ree-aat-le : rire encore avec quelqu'un (pour lui)
o-ba-li : bailler
leqa-li-ku : s'épanouir
fa-tar-ñi : déboucher
gent : déserter
saõg : recouvrir
boppa : tête
fatta : boucher
samp : planter
sampa : planter
Fattu : être obstrué
góor : mâle
nag : boeuf
sabar : tambour
jigéen : femme
jigéen : femelle
xeeñ : sentir
wàcc : abandonner
wàcc : laisser tomber
dem : partir
dem-na : il part
dem-bi : le départ
jiitu : précéder ; fit-al : mettre en tête
soxor : méchant
coxor : méchanceté
sëriñ : musulman
cëriñ : islam — l'état de musulman
guy : baobab
buy : fruit du baobab
fas : cheval
pas : petit cheval
far : être allié
par : allié
par : alliance
wàlaf : habitant du Lof
jolof : pays du Lof
jolof : pays wolof
far naa : je suis allié
par : alliance
ajoor : habitant de l'intérieur
Kajoor : région du Sénégal
añaan : jaloux
kañaan : jalousie
aaréen : arachide
kaaréen : petite quantité d'arachide
kaddu : parole
kaddu : tonnerre
andaar : instrument de mesure
kandaar : le même instrument
néeg bi : la maison
néeg si : la petite maison
ndem : le fait de partir
ndem : départ
bëgg : désirer
mbëgg : désir
géew : faire une réunion
ngéew : assemblée
góor : homme
ngóor : bravoure
baadolo : manant
mbaadolo : état de manant
baax : être bon
mbaax : bonté
far : allié
mpar : alliance
nkor : trahison
boot : porter sur le dos
boot-aay : la manière de porter sur le dos
ñaaw : laid
ñaawaay : la laideur
saf : piquant (goût)
safaay : l'acidité
safaay : le piquant
xuyy : illuminer
lakk : brûler
dem : aller
demin : manière d'aller
demin : l'état
waxin : façon de parler
waxin : accent
mënin : capacité
wecci : changer
weccit : petite monnaie
daggit : morceau
des : constituer un résidu
desit : résidus
liggéey : travail
liggéeykat : travailleur
waxkat : bavard
waxkat : locuteur
ratt : traire
rattkat : celui qui trait
law : s'épandre
lawtan : toute plante proliférante
wex : amer
wextan : bile
sëgg : se courber
sëgg : attendre
sëggtéef : héritier du pouvoir
ñaawtéef : vilenie
toog : s'asseoir
toogukaay : siège
lekk : manger
lekkukaay : plat
xamadi : ignorer
xamadi : ignorance
xamadi : insolence
lekkadi : abstinence devant la nourriture
goreedi : manquer de noblesse
goreedi : indignité
mos : goûter
mosal : faire goûter
mosal : pourboire
gis : voir
gistal : faire voir
gistal : exhibitionnisme
mooy : manquer un but
mooy : dévier
moyaal : détournement
moyaal : quemande
liggéey : travailler
bokk : détenir en commun
wày : chanter
wày : louer
wàyaan : louer
wàyaan : quémander
reetaan : se moquer
reetaan : ricaner
reetaan : ricanement
wax : causer
waxtaan : causer
waxtaan : causerie
seet : regarder
seet : sonder
seetaan : spectacle
jamaale : concurrencer
jamaale : concurrent
waxaale : marchander
waxaale : marchandage
demaale : accompagner
demaale : compagnon
mayle : contribuer à un cadeau fait
naw : estimer hautement
nawle : pair
nawle : un égal
génn : sortir
dend : voisiner
ànd : aller ensemble
àndandoo : aller en groupe
àndandoo : cohorte
reew : être impoli
reewande : impolitesse
ñaawande : laideur
toogandi : attente
muñ : patienter
muñandi : patience
fattaliku : se rappeler
fattalikondi : ne pouvoir se rappeler
xool : regarder
xoolante : se regarder
bëgg : aimer
bëggante : s'aimer
bëggante : amour
nuyu : saluer
nuyonte : se saluer
duggu : s'imposer à quelqu'un
duggonte : se lier
duggonte : s'acquoquiner
lekkantu : faire semblant de manger
gaaw : rapide
gëmmentu : avoir sommeil
fo : jouer
fo : jeu
fontu : jouer
fontu : manquer de sérieux
fattarñi : déboucher
fot : avaler de travers
fottarñi : arracher
daggat : découper
daggat : morceau
xott : morceau
xottat : déchiqueter
xottat : morceau
maggat : vieux
maggat : vieillesse
maggat : vieillir
macc : sucer
maccaat : suçoter
segg : filtrer
seggaat : filtrer une fois encore
nob : aimer
sopp : estimer
soppaate : estimer
ñaan : demander
jéex : fouiller dans le sol
maccaatu : lécher
demi : devoir aller
waxi : aller dire
adduji : devoir répondre à l' avenir
defar : arranger
gaññ : se crisper le visage
gaññar : crispation du visage
lekke : manger avec
jóg : se dresser
jógé : venir de
jógé : se redresser grâce à
gisé : voir 
gisé : entrevue
soppe : ami
soppe : estimer à cause de
bañeel : ennemi
suuf : sol
suuf : le bas
suuféel : rabaisser
ñaar : deux
déey : confier
déeyóo : se concerter
déeyóo : confidence
wàñoo : se disputer
wàñoo : déchirement
dogoo : rupture
toogu : siège
seetu : se mirer
seetu : miroir
lem : plier
lemu : se plier
waxtu : se parler
jabar : jouer les devins
jabartu : charlatanisme
wàññi : retourner
dindi : enlever
dindéeku : se détacher
dindéeku : lâcher
dindéeku que dindiku : se détacher
waññeeku que waññiku : se retourner
nit : homme
nit : être humain
as nit : un bout d'homme
war : mouton
as xar : un petit mouton
as gane : un petit poulet
géwél : griot
as géwél : un petit griot
jur : donner naissance
waa jur : parents
waajur : parents
réew : pays
waaréw : nationaux
waa réew : nationaux
joor : arrière-pays
kaw : haut
Lof : région du Sénégal
waa Lof : habitant du Lof
wàlaf : habitant du Lof
Ndar : Saint-Louis (ville)
waa Ndar : Saint-Louisien
waandar : Saint-Louisien
Raw : village sénégalais
waa Raw : habitant de Rao
waaraw : habitant de Rao
nga-war : équitation
daay : brûlé
daay : endroit déserté
gad-daay : émigrer
gad-daay : émigration
sax : verre
sax : pousse
ga-sax : ver de terre
neex : être agréable
ban-neex : plaisir
rus : avoir honte
rucci : honorer
rucci : « relever d'une honte »
yeew : attacher
yewwi : détacher
wex : salé
weqi : dessaler
weddi : nier
neex : agréable
naqadi : désagréable
taggi : dénicher
sop : turbulent
copte : turbulence
coppe : ami
yéem : étonner
kéemtaan : merveille
ceetaan : spectacle
saf : être acide
cafka : acidité
ceetu : le fait de se mirer
ceetu : se regarder dans le miroir
kubéer : couvercle
odd : recouvrir
kodday : manière de s'habiller
and : vase en argile
kandar : vase qui sert à mesurer
om : maigre
komre : maigreur
samp : planter ; cemp : variété d'herbe aromatique ;
cempit : portion extraite
def : faire ; jëf : acte ; jëfkat : homme d'action
boot : porter sur le dos ; bootaay : manière de porter sur le dos ;
mbootaay : association
dog : couper ; dogal : pourboire ; ndogal : destin
jam : piquer
jam : emporter un enjeu
jamaale : concurrent
njamaale : concurrence
dog : arrêter
aji dogal : juge
aji dogal : qui peut décider
def : faire
defar : arranger
aji-defar : esprit constructif
def : faire
defar : arranger
defarkat : agent
defarkat : constructeur
sopp : estimer ; soppal : estimer à cause de quelqu'un ;
soppalante : s'épauler dans l'estime
soppi : changer
coppeeku : changement
coppalin : manière de changer
coppeekuwaay : manière de changer
wax : dire ; weddi : nier ; weddikat : qui nie
neex : agréable ; naqadi : désagréable ; naqadil : rendre
dog : couper ; dogalante : se faire de petits cadeaux ; ndogalante : concession mutuelle
Combinaison d'affixes : la plupart des monèmes dérivatifs affixés
jiitu : précéder ; jiital : mettre en tête ; jiitëlante : se mettre en rang ;
jiitalante : série
jiitalante : succession
wax : parler ; waxaale : marchander ; waxaalelu : faire marchander ;
