french,wolof
Saint-Louis,Ndar
Est,sawwu
Il n'a pas encore été,Demagul
Il n'a pas encore été voir,Seeteegul
Il ne s'est pas encore substitué à,Wuutóogul
Il n'a pas encore pris de contacts,Giséegul
Province du Sénégal,Kajoor
Cayor,Kajoor
Saint-Louisien,waa Ndar
Saint-Louisien,waandar
Homme n'est pas mauvais !,Nit bonul !
L'homme n'est pas mauvais !,Nit bonul !
Quelqu'un est parti !,Nit dem na !
Homme est parti !,Nit dem na !
Un homme est parti !,Nit dem na !
J'ai vu lion.,Gis naa gaynde.
J'ai vu un lion.,Gis naa gaynde.
C'est un homme.,Nit la.
Cet homme près de moi.,Nit kii ci sama wet.
Cet homme là près de toi.,Nit kookuu ci sa wet.
Tu vois cet homme là-bas ?,Gis õga nit kale ?
"Tu sais, cet homme ?",Gis õga nit kookale ?
Tu vois cet homme là ?,Gis õga nit kee ?
"Tu sais, cet homme là ?",Gis õga nit kookee ?
"Tu vois, cet homme là ?",Gis õga nit kookee ?
J'ai vu l'homme.,Gis naa nit ki.
J'ai vu la femme.,Gis naa jigéen ju.
Regarde ce lutteur.,Xoolal mbër mu.
Regarde ce semblant de lutteur.,Xoolal mbër mu.
Regarde cette aumône.,Seetal sarax su.
Tu as vu l'homme ?,Gis õga nit ka ?
"Tu as vu, auparavant, l'homme ?",Gis õga nit ka ?
Tu connaissais la jeune fille ?,Xamoon õga jaõx ba ?
Tu reconnais cet individu-là ?,Xammee õga waa jooju ?
Tu avais reconnu la femme ?,Xammeewoon õga jigéen jooju ?
Cet homme a étudié,Nit kii jaõg na
Ces jeunes gens sont sages.,Xale yile yarunañu.
Je parle de cette dame que voilà !,Jigéen jale laa wax !
Je parle de ce petit.,Xale buu laa wax.
Cette femme-ci n'est pas partie.,Jigéen jule demul.
Ces enfants que voilà ne sont pas sages.,Xale yule yaruwuñu.
Tu connais cet enfant là-bas ?,Xam õga xale bee ?
Cette dame là-bas.,Jigéen jale.
C'est ces livres là-bas que j'ai achetés !,Téere yee laa jënd !
Cause avec cet homme qui est à côté !,Waxtaanal ag nit kookii ci sa wet !
Tu vois ces femmes-là ?,Gis õga jigéen ñooñii ?
Nourris cette vache-ci !,Mayal nag wile !
Tu connais cet homme-là ?,Xam õga nit kookuu ?
Tu as vu ces jeunes gens ?,Gis õga xale yooyule ?
Je parle de la personne qui est sortie !,Nit kookuu génn laa wax !
Tu avais vu cette femme ?,Gisóon õga jigéen joojule ?
Je connaissais cet individu-là !,Xamoon naa waa joojee !
J'avais reconnu cette dame-là !,Xammeewoon naa jigéen joojale !
J'ai vu l'enfant.,Gis naa xale ba.
Je parle de cet homme-ci.,Kile nit laa wax.
Ce n'est pas là une belle parole !,Jile wax rafetul !
Cet homme là-bas que tu vois,Kee nit õgay gis
C'est ces livres-là qu'il m'a donnés.,Yee téere la ma jóox.
J'ai vu un mouton.,Gis naa am xar.
J'ai aperçu un homme.,Séen naa ak nit.
J'ai aperçu un homme.,Séen naa aw nit.
J'ai aperçu des gens.,Séen naa ay nit.
Quel homme s'est égaré ?,Nit kan a réer ?
Quel mouton s'est égaré ?,Xar man a réer ?
Quel cheval s'est égaré ?,Fas wan a réer ?
Quelle femme s'est égarée ?,Jigéen jan a réer ?
Quelle clé s'est égarée ?,Doom ban a réer ?
Quelle chose s'est égarée ?,Lëf lan a réer ?
Quelle jeune fille s'est égarée ?,Ndaw san a réer ?
Quelles personnes se sont égarées ?,Nit ñan ñoo réer ?
Quels moutons se sont égarés ?,Xar yan ñoo réer ?
Quels chevaux se sont égarés ?,Fas yan ñoo réer ?
Quelles femmes se sont égarées ?,Jigéen ñan ñoo réer ?
Quelles clés se sont égarées ?,Doom yan ñoo réer ?
Quelles choses se sont égarées ?,Yëf yan ñoo réer ?
Quels couteaux se sont égarés ?,Saatu yan ñoo réer ?
Tu parles de quel mouton ?,Xar moomu man õga wax ?
Tu parles de ce mouton ?,Xar moomu man õga wax ?
Quel mouton ?,Xar mii man ?
Quels moutons avais-tu achetés ?,Xar yii yan õga jënd ?
C'est ces moutons que tu avais achetés ?,Xar yii yan õga jënd ?
Quels moutons ?,Xar yile yan ?
Que j'attrape quelles vaches ?,Ma japp nag yee yan ?
Qu'il attrappe quelles vaches ?,Mu japp nag yooyu yan ?
Tu parles de quelle maison ?,Boobu néeg ban õga wax ?
Tu parles de quelle maison ?,Bii néeg ban õga wax ?
Tu parles de quelle maison (ici) ?,Bii néeg ban õga wax ?
Vous parlez de quelle dame ?,Jile jigéen jan õgeen wax ?
Vous parlez de quelle dame (ici) ?,Jile jigéen jan õgeen wax ?
Quel cheval veux-tu ?,Woowale fas wan õga bëgg ?
Quel cheval veux-tu ?,Yooyale fas wan õga bëgg ?
Quels amis sont arrivés ?,Xarit yan ño ñëw ?
Tout le mouton,Xar mépp
Toute la chambre,Néeg bépp
Toute la maison,Kër gépp
Tout le propos,Wax jépp
Tout ce discours,Wax jépp
Fais sortir tout homme que tu vois !,Génnéel képp nit koo gis !
Fais sortir tout mouton que tu vois !,Génnéel mépp xar moo gis !
Fais sortir tout cheval que tu vois !,Génnéel wépp fas woo gis !
Fais sortir toute vache que tu vois !,Génnéel bépp nag woo gis !
Honore tout homme !,Teralal béppu nit !
Le mouton en entier.,Xar mi mépp.
"Ce boeuf-là, en totalité.",Nag woowa wépp.
Toute cette part que voici.,Wall wuu wépp.
Ce mouton-ci en entier.,Xar mii mépp.
Tout ce mouton.,Xar moomee mépp.
Toute cette partie.,Xar woowalé wépp.
Ce mouton en entier.,Mi xar mépp.
Quel mouton en entier ?,Man xar mépp ?
Ce mouton-là en entier.,Xar moomule mépp.
Va voir tous les hommes !,Seetil nit ñépp !
Va voir tous les moutons !,Seetil xar yépp !
Va voir tous les chevaux !,Seetil fas yépp !
Va voir toutes les vaches !,Seetil nag yépp !
J'ai vu tous ces gens.,Gisoon naa nit ñooña ñépp.
"J'ai vu tous ces gens, auparavant.",Gisoon naa nit ñooña ñépp.
J'ai vu ces gens.,Gisoon naa ñooñale nit ñan.
J'ai vu tous ces moutons-ci.,Gisoon naa xar yi yépp.
J'ai déjà vu tous les moutons.,Gisoon naa xar yi yépp.
J'ai déjà vu tous ces moutons-ci.,Gisoon naa xar yi yépp.
Aucun homme ne s'est égaré.,Nit kenn réerul.
Aucun mouton ne s'est égaré.,Xar menn réerul.
Aucun cheval ne s'est égaré.,Fas wenn réerul.
Aucune clef n'est égarée.,Doom benn réerul.
Aucune dame ne s'est égarée.,Jigéen jenn réerul.
Aucune jeune fille ne s'est égarée.,Ndaw senn réerul.
Rien ne s'est égaré.,Lëf lenn réerul.
Aucun lion ne s'est égaré.,Gayndé genn réerul.
Aucun homme ne s'est égaré.,Kenn nit réerul.
Aucun mouton ne s'est égaré.,Menn xar réerul.
Aucune dame ne s'est égarée.,Jenn jigéen réerul.
Aucun homme n'est venu.,Menn nit ñëwul.
Aucun mouton n'est arrivé.,Menn xar ñëwul.
J'ai acheté le mouton.,Jënd ñaa menn xar mi.
J'ai acheté ce seul mouton !,Jënd ñaa menn xar mi !
J'ai acheté cette unique mouton !,Jënd ñaa menn xar mi !
Cherche un autre homme !,Seetal nit keneen !
Cherche un autre mouton !,Seetal xar meneen !
Cherche un autre cheval !,Seetal fas weneen !
Cherche une autre maison !,Seetal néeg beneen !
Cherche un autre lion !,Seetal gaynde geneen !
Cherche une autre jeune fille !,Seetal ndaw seneen !
Cherche une autre dame !,Seetal jigéen jeneen !
Cherche une autre chose !,Seetal lëf leneen !
C'est un autre cheval que je veux !,Weneen fas la bëgg !
C'est une autre maison que je veux !,Beneen néeg laa bëgg !
C'est un autre lion que je veux !,Geneen gaynde laa bëgg !
C'est une autre épouse que je veux !,Jeneen jabar laa bëgg !
C'est une autre jeune fille que je veux !,Seneen ndaw laa bëgg !
C'est un autre récipient que je veux !,Beneen ndab laa bëgg !
C'est un autre homme que je veux !,Meneen nit laa bëgg !
L'autre homme est venu.,Nit keneen ki ñëw na.
Il parle de l'autre homme.,Keneen nit kooka la wax.
C'est l'autre cheval qui s'est égaré.,Fas weneen wu moo daw.
Je parle de cet autre homme que voilà !,Nit keneen kaa laa wax !
C'est cet autre cheval là-bas qui est bon !,Fas weneen wale moo baax !
Quel autre cheval as-tu vu ?,Weneen fas wan õga gis ?
Tout autre mouton que tu vois.,Meneen xar mépp moo gis.
Tous les autres moutons fuirent.,Yeneen xar yi yépp daw.
C'est mon ami !,Sama xarit la !
C'est ton ami !,Sa xarit la !
C'est son ami !,Xaritam la !
C'est notre ami !,Suñu sarit la !
C'est votre ami !,Seen xarit la !
C'est leur ami !,Suñu xarit la !
J'ai vu mon ami !,Gis naa sama xarit bi !
J'ai vu mes amis !,Gis naa sana xarit yi !
J'ai vu mes amis !,Gis naa sama xarit yee !
Un ami à moi !,Sama aw xarit !
Des amis à moi !,Samay xarit !
Mes amis !,Samay xarit !
Tu as vu quels amis à moi ?,Gis õga samay xarit yan ?
Tu as vu lesquels de mes amis ?,Gis õga samay xarit yan ?
J'ai vu tous tes amis !,Gis naa sa xarit yépp !
Il a vu tous tes amis !,Gis na sa xarit yépp !
J'ai vu tous vos amis en question !,Gis naa seeni xarit yooyu yépp !
Il a vu tous vos amis en question !,Gis na seeni xarit yooyu yépp !
J'ai vu d'autres amis à vous !,Gis naa seen yeneen xarit !
Il a vu d'autres amis à vous !,Gis na seen yeneen xarit !
J'ai vu tes autres amis !,Gis naa sa xarit yeneen yi !
Il a vu tes autres amis !,Gis na sa xarit yeneen yi !
J'ai vu mes autres amis !,Gis naa sama xarit yeneen yooyuu !
Il a vu mes autres amis !,Gis na sama xarit yeneen yooyuu !
Je vois l'homme.,Gis naa nit ki.
Je vois les gens.,Gis naa nit ñi.
Il a vu la dame.,Gis naa jeeg bi.
Il a vu les dames.,Gis naa jeeg ji.
Je connais l'enfant.,Xam naa xale bi.
Je connais les enfants.,Xam naa xale yi.
