french,wolof
J'arrive tout de suite chez toi.,Léegui léegui ma egg sa kër.
"J'en suis sûr, cette photo ci c'est la photo pris au moment où plusieurs personnes marchent rapidement et tendent leurs mains. Ceux là sont assis, ceux là sont debout entrain de marcher. On a écrit sur la photo quelque chose de bleu sur la Casamance.",Waaw nataal bii nataal la boob ay nit ñu baree bari ñoo xam ni dañuy doxub ñaxtu ñoo ci nekk tàllal seen i loxo. Ñee sukku ñeel taxaw jodd di dox. Ñu bind ci kaw nataal bi lu xaw a baxa la bind ci laa kaasamãs.
Je vois devant moi une photo sur laquelle beaucoup de personnes marchent rapidement. Ils ont pliés leurs mains pour montrer une attitude pacifique.,Nataal bii maa ngi ciy janloog haa ay nit yu bari yuy dox di dox ab ñaxtu. Ñi ngi bank seen i loxo di wane ni lu amul benn taafar lañuy deme.
Ceux-ci sont des personnes qui sont sortis et marchent rapidement. Les marcheurs portent leurs habits blancs et leurs pantalons bleus et sont sur la route entrain de montrer leur colère. Ils écrivent au milieu de l'écriture française bleue.,"Lii, ay nit lañu yu génn di ñaxtu. Jëm yi nag ñu ngi sol seen i yére yu weex ak seen i tubéy yu baxa, nekk ci tali bi di wane seen aw naqar. Ñu ngi bind ci digg bi mbindum farañse mu baxa."
"Bonjour ! Ceux-là qui ressemblent à des personnes qui habitent en Casamance, un pays qui est au Sénégal, eux sont ceux qui montrent cette colère, se lèvent comme ça, les uns assis, les autres debout, prenant leurs mains et les rassemblant pour montrer leurs mauvais humeur. Ils sont assis sur la route.","Salaawaalekum ! Ñii de, mel nañ ne, ay nit ñu dëkk kaasamaas, benn dëkk bu nekk Senegaal, ñoom ñooy wane seenuw naqar nii, daldi taxaw nii, ñenn ñi toog, ñenn ñi taxaw, jël seen loxo yi dajale ko ngir wane seenuw naqar. Ñoo ngi toog ci tali bi."
"Cette photo ci c'est une photo sur laquelle je vois des jeunes du pays qui semblent en colère contre ce qui s'est passé dans leur pays et que les anciens les ont laissés. J'en vois même ceux-là qui portent des habits blanc et des pantalons noirs. Beaucoup parmi eux portent des habits noirs et blancs, et d'autres portent des habits blancs. Ils sont levés sur la route, qui elle semble remplie de pierres qu'ils ont, peut-être, utilisé pour se battre contre les gendarmes. Au-dessus de la photo j'en vois qui écrivent quelque chose d'arrogant. Ceux qui habitent en Casamance l'appellent Sigicor.","Nataal bi ab nataal la boo xamante yni maa ngi ciy gis ay ndawi réew yoo xamante ni daa mel ni dañuy naqarlu loo xamante ni xew na ca seen réew te seen njiitu réew teg leen ko. Maa ngi ciy gis nag ñoo xamante ni dañoo sol lu weex aki ay tubéy yu ñuul. Bari ci ñoo xamante ni sol nañu yoo xamante ni ay yére yu ñuul la ak yu bula, am na yit ñu sol yu bula. Ñu ngi taxaw si kow tali tali bi nag xaw naa bari ay xeer ńàkkul ni ñoo ko jëfandikoo ngir jàmmarloo ak way takk-der yi. CI kow nataal bi maa ngi gis ñu bind si bind boo xamante ni réewu, dëkk bi nu naan Kaasamaas ñu koy wax Siggicoor."
"Sur la photo, ont voit des personnes qui marchent rapidement ou qui s'opposent constamment aux gendarmes. C'était à la Casamance. Ils ressemblent plus à des jeunes. C'était peut-être pour montrer quelque chose qui leur déplaisait.",Nataal bii ñoo ngi ciy gis ay nit ñuy ñaxtu walla di jàmmaarlook takk-der yi rekk. Caa Kaasamaas la woon. Aw ndaw lañ gën a nurool. Du ñàkk am lu leen metti ñu ko doon ñaxtu.
"On voit sur la photo beaucoup de personnes sorties sur la route, qui ont sortis leurs mains, les uns qui sont assis et lèvent leurs mains et écrivent, sur la photo, ""La Casamance"", qui veut dire la région de Casamance.","Ñu gis ci nataal bi ay nit ñu bari ñu génn ci tali, ñu yékkati seen i loxo, ñenn ñi sukku yékkati seen loxo, ñu bind ci nataal bi ""La Casamance"", mooy diiwaanu Kaasamaas."
"C'est des poissons, oui. Ils sont de couleur bleue ou rouge.","Jën la waaw, Wu am wirgo Wu baxa ak Wu xonq."
"Ah sur cette photo ci, il y a un poisson. Il existe trois couleurs pour ce poisson. La première couleur est la jaune, ceux qui suivent sont le bleu et le blanc. Ce sont de jolis poissons.","Aah nataal bii nag, aw jën la. Jën wi mi ngi ame ñetti wirgo. Wirgo Wu jëkk Wi mboq la, Wu ci topp di bëlë, Wu ci topp di weex. Muy jën wu rafet."
"Sur cette photo datant d'il y a trente sept ans, j'y vois, semble-t-il, <mask> poisson. C'est un poisson qui a aussi des couleurs. Les couleurs aussi y'en a du bleu, du marron, du blanc, et ce qui l'entoure c'est du blanc.","Nataalu fanweer ak juróom-ñaar, maa ngi ci gis lu mel ne lu taxam taxawaayu jën. Jën la woo xam ne itam dafa am ay kulëer. Kulëer yi tamit am na bulë, am na marõ, am na weex, lu ko wër lépp lu weex la."
"Ça c'est nos parents Laobés qui l'ont conçu. J'y ai vu aussi une couleur rouge et aussi une couleur bleu. Oui, c'est cela que j'y ai vu.","Lii day suñu mbokki lawbe yi ñoo koy defar. Gis naa ci itam couleur bu xonqu, gis naa ci couleur bu bula. Waaw loolu de laa ci gis."
"Je pense que la photo que je vois là, c'est une photo dans laquelle on voit une région qui est très jolie, vraiment jolie. Il semble même <mask>. En plus il y a de l'eau, des arbres verts, et tout le reste. En plus de cela, la région est très jolie et il y a du blanc à l'intérieur.","Man de nataal bii ma gis nii, nataal la boo xam ne ab dëkk bu rafet a rafet la, dëkk bi nag rafet na lool. Ba noppi mel ni yuñ ràbb daal, ba noppi am na ndox am na garab yu wert am yépp. Ba noppi dëkk bi rafet na lool daal am na lu weex."
"Ça c'est un terrain de jeu, c'est-à-dire un très joli stade de jeu avec des lampes allumées en haut tout autour comme s'il y avait quelque chose de noir au dessus entouré de lampes très lumineuses. L'intérieur était une place dans lequel des gens jouaient au football.",Waaw lii ab fowu la maanaam stade fowu fowu la bu rafet lool làmp yiy tàkk nii nekk ci kawam mu wërngalu nii am lu ñuul lu nekk ci kaw loo xam ne daa daa wërngalu làmp yi di leer nàññ ci kaw fowu bi nekk ci biir mu doon loo xam ne sii ci biir dees ci futbalees.
"Cette photo ci est celle d'un couteau. Un couteau pour lequel il y a du bois à côté ainsi que du fer. Ce qui est sur cette photo ci on l'appelle couteau. C'est un vieux couteau de couleur chocolat. Oui, c'est comme ça qu'il est.","Nataal bii de, nataal la boo xam ne ab paaka la, paaka boo xam ne paaka bi am na dénk ca wet ga ak weñ waaw. Nataal bii daal paaka lañ koy wax paaka bi daal beesul te daa chocolat waaw noon la mel."
