french,wolof
"Quand j'étais enfant, il y avait un figuier à l'entrée de la maison.","Ba may gone, amoon na gaŋ gu nekkoon ci buntu kër gi."
Et moi ?,Man nag ?
Dis-le-lui !,Wax ko ko !
Il l'a attrapé par la taille.,Mu ngi jàpp ci cang gi.
"Je suis passé par deux fois devant la maison, j'étais désorienté.","Romb naa kër gi ñaari yoon, dama gëlëmoon."
Le pauvre !,Ndeysaan !
Un enfant retors.,Xale bu dëng.
Où sont les nouveaux mariés ?,Ana séet yi ?
Le soleil est sorti.,Naaj wi génn na.
Ce qui germe dans le coeur se reflète au visage.,"Lu jebbi ci xol, focci ci jë."
"Un adulte qui fait de la pédophilie, je sais vivre avec lui, moi qui fait de la pédophilie comme lui.","Mag muy kóot i gone, maa mëna dëkk ak moom, man miy kóot ni moom."
"Chaque fois qu'arrive la saison des pluies, sa tête se couvre de pustules qui se remplissent de pus.","Bu nawet jotee rekk, boppam bi def ay picc yuy duy."
Je n'aime pas les aubergines frites.,Soppuma batañse bu ñu fiiriir.
Enfume le trou et le rat sortira !,"Suural kan mi, kaña gi génn !"
Un boubou jaune.,Mbubb mu màkka.
C'est par les crânes qu'on détermine le nombre d'années écoulées depuis qu'on les a exterminés.,Kaaŋ yi lañuy xaymaa at yi wees ba ñu leen faagaagalee ak léegi.
Attrapez-moi la poulette !,Jàppalleen ma ganaaru tëng gi !
Il manque une cuillère.,Des na benn kuddu.
"Le plus souvent, ce sont les Peuls qui transhument.",Pël ñoo ëpp li ñuy màng.
Je vous invite dimanche à la maison.,Përye naa leen dimaas kër ga.
Il est « excessivement » courageux !,Jambaar la ba mu ëpp !
Est-ce que tu peux me procurer un peu de charbon ?,Ndax mën nga maa amal tuuti këriñ ?
Nettoie l'avant-bras !,Fompal xasabu bi !
Elle s'est assise fermement sur la natte.,Dafa ne réjj déju ci ndés gi.
Laissez ce jeu de aayet allez à la cuisine.,Bàyyileen aay bi te dem ca waañ wa.
J'ai laissé un message pour toi à Omar.,Batale naa la ak Omar.
Une plume n'est qu'une plume.,"Xalima, xalima la rekk."
Tu connais cet enfant-ci ?,Xam ŋga bii xale ?
"Quand elle remplissait de lait celui de son fils, celui de l'autre, elle le remplissait à trois quart.","Bu doom ji, bu ko defalee meew ba mu fees, mu defal kële ba mu ŋàbbu."
"L'homme et ses désirs, Dieu et sa décision.","Nit ak bëgg-bëggam, Yàlla ak dogalam."
"Certaines choses, il faut les avoir expérimentées.","Yenn yi, danga koy jarabu."
"Le bracelet est serré, écarte-le !","Lam bi dafa xat, ŋàyyi ko !"
"Si tu veux quelque chose à aller raconter, tu ne l'auras pas.","Ndegam danga bëgg loo nettaliji, doo ko am."
C'est la mangue qui a attiré les mouches ici.,Màngo bee fi indi weñ yi.
Les provisions que tu as faites ne suffiront pas pour tes hôtes.,Li nga dugg doyul sa gan yi.
Il tonne.,Asamaan saa ngiy dënnu.
L'homme qui eût travaillé,Waa ji liggéeykoon
On croyait que tu allais partir matin et soir !,Dañu defewoon ni daa dem ci subë ag ci ŋgoon yépp !
Il est aveugle.,Dafa silmaxa.
Donne la gomme arabique à la lingère !,Joxal fóotkat bi dàkkaande ji !
J'ai apporté aux enfants de la canne à sucre.,Indil naa xale yi jàmb-suukar.
"Quand les relations entre les deux pays se sont détériorées, c'est lui qu'on a envoyé en mission.","Ba diggante ñaari réew yi yàqoo, moom lañu ràng."
Nous fumons.,Dinanuy tux.
