french,wolof
Il n'a pas encore été,Demagul
Il n'a pas encore été voir,Seeteegul
Il ne s'est pas encore substitué à,Wuutóogul
Il n'a pas encore pris de contacts,Giséegul
Homme n'est pas mauvais !,Nit bonul !
L'homme n'est pas mauvais !,Nit bonul !
Quelqu'un est parti !,Nit dem na !
Homme est parti !,Nit dem na !
Un homme est parti !,Nit dem na !
J'ai vu lion.,Gis naa gaynde.
J'ai vu un lion.,Gis naa gaynde.
C'est un homme.,Nit la.
Cet homme près de moi.,Nit kii ci sama wet.
Cet homme là près de toi.,Nit kookuu ci sa wet.
Tu vois cet homme là-bas ?,Gis ŋga nit kale ?
"Tu sais, cet homme ?",Gis ŋga nit kookale ?
Tu vois cet homme là ?,Gis ŋga nit kee ?
"Tu sais, cet homme là ?",Gis ŋga nit kookee ?
"Tu vois, cet homme là ?",Gis ŋga nit kookee ?
J'ai vu l'homme.,Gis naa nit ki.
J'ai vu la femme.,Gis naa jigéen ju.
Regarde ce lutteur.,Xoolal mbër mu.
Regarde ce semblant de lutteur.,Xoolal mbër mu.
Regarde cette aumône.,Seetal sarax su.
Tu as vu l'homme ?,Gis ŋga nit ka ?
"Tu as vu, auparavant, l'homme ?",Gis ŋga nit ka ?
Tu connaissais la jeune fille ?,Xamoon ŋga jaŋx ba ?
Tu reconnais cet individu-là ?,Xammee ŋga waa jooju ?
Tu avais reconnu la femme ?,Xammeewoon ŋga jigéen jooju ?
Cet homme a étudié,Nit kii jaŋg na
Ces jeunes gens sont sages.,Xale yile yarunañu.
Je parle de cette dame que voilà !,Jigéen jale laa wax !
Je parle de ce petit.,Xale buu laa wax.
Cette femme-ci n'est pas partie.,Jigéen jule demul.
Ces enfants que voilà ne sont pas sages.,Xale yule yaruwuñu.
Tu connais cet enfant là-bas ?,Xam ŋga xale bee ?
Cette dame là-bas.,Jigéen jale.
C'est ces livres là-bas que j'ai achetés !,Téere yee laa jënd !
Cause avec cet homme qui est à côté !,Waxtaanal ag nit kookii ci sa wet !
Tu vois ces femmes-là ?,Gis ŋga jigéen ñooñii ?
Nourris cette vache-ci !,Mayal nag wile !
Tu connais cet homme-là ?,Xam ŋga nit kookuu ?
Tu as vu ces jeunes gens ?,Gis ŋga xale yooyule ?
Je parle de la personne qui est sortie !,Nit kookuu génn laa wax !
Tu avais vu cette femme ?,Gisóon ŋga jigéen joojule ?
Je connaissais cet individu-là !,Xamoon naa waa joojee !
J'avais reconnu cette dame-là !,Xammeewoon naa jigéen joojale !
J'ai vu l'enfant.,Gis naa xale ba.
Je parle de cet homme-ci.,Kile nit laa wax.
Ce n'est pas là une belle parole !,Jile wax rafetul !
Cet homme là-bas que tu vois,Kee nit ŋgay gis
C'est ces livres-là qu'il m'a donnés.,Yee téere la ma jóox.
J'ai vu un mouton.,Gis naa am xar.
J'ai aperçu un homme.,Séen naa ak nit.
J'ai aperçu un homme.,Séen naa aw nit.
J'ai aperçu des gens.,Séen naa ay nit.
Quel homme s'est égaré ?,Nit kan a réer ?
Quel mouton s'est égaré ?,Xar man a réer ?
Quel cheval s'est égaré ?,Fas wan a réer ?
Quelle femme s'est égarée ?,Jigéen jan a réer ?
Quelle clé s'est égarée ?,Doom ban a réer ?
Quelle chose s'est égarée ?,Lëf lan a réer ?
