french,wolof
Saint-Louis,Ndar
Moussa,Musaa
partir,dem
Est,sawwu
coiffure de jeune fille,paq
terre humide,baq
bois de chauffage,matt
borgne,patt
Province du Sénégal,Kajoor
Cayor,Kajoor
Saint-Louisien,waa Ndar
Saint-Louisien,waandar
fermer,up
porter malchance,um
posséder ensemble,bokk
être pulvérisé,mokk
bracelet,lam
se noyer,lap
trouver quelque chose,amal
prêter,abal
mesurer,natt
croire,gëm
être meilleur,gën
soigner,fac
soin,pac
sable,suuf
teindre,suup
souder,daf
rejoindre,dap
chevreau,tef
faire,def
suivre,topp
oreille,nopp
traîner,wàt
montrer,wàn
traîner,wàtal
traîner pour quelqu'un,wàtal
cacher,nëbb
piller,dëbb
ranger,fad
où,fan
grappe,cëgg
piétiner,dëgg
mentir,nar
enduire,ñar
tordre,wàñ
branche,car
se vendre bien,jar
nourriture,ñam
atteindre,daj
toucher,daj
caracoler,dañ
se partager,xaajoo
rugir,ŋar
tendu,daŋ
tendre,daŋal
rendre tendu,daŋal
caracoler,dañal
qui,kan
hôte,gan
guetter,kar
serviteur,dak
couper,dok
pierre,doc
piocher,gabb
tenir à bout de bras,ŋabb
serviteur,dag
mouton,xar
tendu,dan
beurre,dax
fané,lax
tranche médiane de poisson,lak
caillou,xor
homme libre,gor
marcher,dox
couper,dog
couler,siit
suinter,siit
avoir peur,tiit
inquiétude,tiis
peur,tiit
se nouer,fasu
s'abriter,fatu
s'enfermer chez soi,fatu
être piquant,saf
coudre deux bandes d'étoffe,xaf
se coincer,tase
s'aplatir contre une paroi,tafu
presser,nal
étendre,lal
élire,fal
amant,far
lit,lal
avoir le temps,tal
ranger,fat
année dernière,daaw
abriter,fad
mélanger,rax
tromper,nax
effacer,far
souder un trou,daf
tailler,dad
polir,dad
couler,wal
publier,siiwal
parler,wax
bouillir,bax
courir,daw
rejoindre,dab
souffler,wàl
élection,pàl
choses,yëf
fait,jëf
acte,jëf
soigner,faj
chose,lëf
chanter,wày
moudre,wàl
tordre,wañ
toi,yaw
coudre,ñaw
espèce de cheval,mpar
allié,par
planter,sàmp
chanter (coq),sap
variété de cheval,mpar
avoir soif,mar
savoir,xam
filet,mbaal
pardonner,baal
flotter,tëmb
sauter,tëb
diminutif de Babacar,mbay
donner,may
avarié,xamb
sorte de puits,ntëng
femelle d'animal,tëng
remercier,sant
récipient,ndab
rattraper,dab
boue,ban
baton,bant
envoyé,ndaw
souffle,naw
sorte de fourneau,and
enlever des ordures,an
part,nar
enlever,an
fourneau en argile,and
chien,xac
écorce,xañc
bâtir,sañc
bâtir une ville,sañc
branche,ñcar
aube,njël
prendre,jël
boule de couscous,doñj
pierre,doj
canari,ñjaq
sueur,ñaq
se poser,tak
pied,taŋk
refuser,laŋk
calebasse,tax
puiser,taŋx
faire pousser,saxal
brisures de mil,saŋxal
étourdi,sop
trouver gentil,sopp
pourri,nëb
pourrir,nëbël
cacher pour quelqu'un,nëbbël
fermer les yeux,gëmm
boucher,fatt
fusil,fetal
faire éclater,fettal
abattre,fadd
avaler,wànn
soigner,tac
éclater,facc
chien,xaj
séparer,xajj
faire de la place à,xajal
compter,wàññ
s'enflammer,takk
grand,mag
grandir,magg
pourboire,dagguu
se tâcher,taq
remuer,jeqi
piler,wàl
secours,wàll
talus,tali
s'étendre de tout son long,talli
variété d'oiseau,coy
rouge écarlate,coyy
respirer,noyyi
urinoir,sawu
atmosphère,jaww
bâtiment,taax
prendre,fab
prendre,fap
se poser,tag
prendre pour quelqu'un,fabal
ranger pour quelqu'un,fatal
aller soigner,faji
épine,dek
épine,deg
épine de brousse,degu àll
nom,tur
verser,tuur
quiconque,ku
celui-là,kuu
que voilà,kuu
rien,tus
éclabousser,tis
recouvrir,muur
avoir des vertiges,miir
celui-là devant,kuu
celui-ci,kii
gosier,boli
grand plat,bóoli
se soulever,jog
porter bonheur,jig
teindre à l'indigo,suup
plonger,sóop
mou,tóoy
humide,tooy
trahir,wor
jeûner,woor
noble,gor
s'affaisser,goor
trahison,kor
ombre,ker
saison sèche,noor
mal de mer,neer
piler,wol
effacer,fàr
dent mal plantée,jaŋg
étudier,jàŋg
attiser un feu,xamb
lieu de culte,xàmb
homme,nit
éclairer,niit
lequel,ki
venir,dikk
aller voir,gisi
se concerter,gise
homme de caste,géer
lignée,giir
descendance,giir
être guéri,wér
adosser,wéer
fibre de coton,wét
côte,wet
lune,weer
berge,xer
rivage,xer
pierre,xeer
ver de terre,wer
s'évaporer,fer
attendre,xaar
monter,war
étonner,waar
passer par,jaar
s'allumer,tàkk
attacher,takk
dent de travers,jaŋg
vent,ëgg
arriver,agg
avoir une dysenterie,fër
côte,faar
être en vacance,bër
beurre,bëër
chair,sóox
absorber une forte gorgée,góox
envieux,iñaan
arriver,egg
déjeuner,añ
avare,aay
serviabilité,aajo
fermer,ub
bailler,obali
être maigre,om
prendre sur ses genoux,uuf
genoux,óom
maigre,oos
dépasser les limites,ëpp
excessif,ëpp
naissance,juddu
tissu,ndimo
bras,lóxó
celui-ci,kuu
tout près,kuu
se concerter,gisóo
se couvrir avec,woddoo
cet,ki
que voici,ki
amulette,téeré
interdire,tere
rien,dara
rire,ree
encre,daa
muet,muumë
guérir,wér
faire le tour,wër
homme de noble caste,géer
voir ensemble,gisóo
rendre bon,baaxal
faire une offrande à une divinité.,tuurul
coller,taf
afficher,taf
maison,kër
chasser,rëbb
refuser,bañ
frapper,dóor
aile,laaf
pouvoir,mën
vilain,ñaaw
change,sëf
éduquer,yar
élection,mpal
culture,mbay
folie,ndof
prise,ñjëg
croyance,ŋgëm
charge,sas
allumer,taal
éteindre,fày
tâter,lamb
rêver,gént
bouchée,lañc
indigo,ŋgëñj
chaud,taŋg
il y a un moment,saŋx
tête,bopp
grenier,saq
scarifier,gajj
couper,dagg
secours,wall
avoir pris l'habitude de,tamm
choir,tann
avarié,wàŋŋ
tam tam,sabar
façon d'être,ndemin
feu,safara
s'embourber,ñappati
récipient,satala
poulet,ganaar
nom,Idi
envie,kañaan
torchon,sagar
exil,laŋaay
fumée train,saxaar
demander pardon,bala
puer,xasaw
prendre partie pour,faral
conduire,dawal
interdire,aaye
déraciner,sempi
rebord,ñjambaas
baptême,ŋgenté
unité de mesure,andaar
se coincer,tañcu
cuivre,xañjar
se taire,noppi
éviter,wattu
se pincer,tëccu
être vacciné,ñakku
se cacher,laqu
être anémié,libbët
répondre,addu
défoncer,dajji
enjamber,jéggi
secourir,wàllu
nom,sannar
habituer,tammal
nom,Daŋŋar
déboucher,saññi
jaloux,iñaan
jaloux,añaan
or,urus
bailler,óbbëli
s'essuyer la bouche,ommeeku
se blottir,uufu
faire maigrir,oosal
se retrousser les manches,ëñu
obligeance,itte
ouvrir,ubbi
séparer,atté
juger,atté
