french,wolof
Il n'a pas encore été,Il n'a pas encore été
Il n'a pas encore été voir,Il n'a pas encore été voir
Il ne s'est pas encore substitué à,Il ne s'est pas encore substitué à
Il n'a pas encore pris de contacts,Il n'a pas encore pris de contacts
Homme n'est pas mauvais !,Homme n'est pas mauvais !
L'homme n'est pas mauvais !,L'homme n'est pas mauvais !
Quelqu'un est parti !,Quelqu'un est parti !
Homme est parti !,Homme est parti !
Un homme est parti !,Un homme est parti !
J'ai vu lion.,J'ai vu lion.
J'ai vu un lion.,J'ai vu un lion.
C'est un homme.,C'est un homme.
Cet homme près de moi.,Cet homme près de moi.
Cet homme là près de toi.,Cet homme là près de toi.
Tu vois cet homme là-bas ?,Tu vois cet homme là-bas ?
"Tu sais, cet homme ?","Tu sais, cet homme ?"
Tu vois cet homme là ?,Tu vois cet homme là ?
"Tu sais, cet homme là ?","Tu sais, cet homme là ?"
"Tu vois, cet homme là ?","Tu vois, cet homme là ?"
J'ai vu l'homme.,J'ai vu l'homme.
J'ai vu la femme.,J'ai vu la femme.
Regarde ce lutteur.,Regarde ce lutteur.
Regarde ce semblant de lutteur.,Regarde ce semblant de lutteur.
Regarde cette aumône.,Regarde cette aumône.
Tu as vu l'homme ?,Tu as vu l'homme ?
"Tu as vu, auparavant, l'homme ?","Tu as vu, auparavant, l'homme ?"
Tu connaissais la jeune fille ?,Tu connaissais la jeune fille ?
Tu reconnais cet individu-là ?,Tu reconnais cet individu-là ?
Tu avais reconnu la femme ?,Tu avais reconnu la femme ?
Cet homme a étudié,Cet homme a étudié
Ces jeunes gens sont sages.,Ces jeunes gens sont sages.
Je parle de cette dame que voilà !,Je parle de cette dame que voilà !
Je parle de ce petit.,Je parle de ce petit.
Cette femme-ci n'est pas partie.,Cette femme-ci n'est pas partie.
Ces enfants que voilà ne sont pas sages.,Ces enfants que voilà ne sont pas sages.
Tu connais cet enfant là-bas ?,Tu connais cet enfant là-bas ?
Cette dame là-bas.,Cette dame là-bas.
C'est ces livres là-bas que j'ai achetés !,C'est ces livres là-bas que j'ai achetés !
