french,wolof
À l'aide !,Wóoy !
"Au dos d'une photo prise quelque part dans la région des Grass Fields, en pays mbembé, qui montre le paysage devant lequel ils ont passé la nuit, mon père écrit avec une emphase inhabituelle : « L'immensité qu'on voit au fond, c'est la plaine sans fin. »","Yeewu nañu bés ci àllu Garaas Fiild, fi mbembe yi fekk baax, Baay jël nataal ba noppi bind ci ginnaaw, ak ñàkkum dal mu ko kenn masul a xame : « Lee ñuy séen fu soree-sori, mooy joor gi amul àpp. »"
"Mais une simple paire de lunettes ne suffisait pas à l'image que j'ai gardée de cette première rencontre, l'étrangeté, la dureté de son regard, accentuée par les deux rides verticales entre ses sourcils. Son côté anglais, ou pour mieux dire britannique, la raideur de sa tenue, la sorte d'armature rigide qu'il avait revêtue une fois pour toutes.","Waaye, li may fàttaliku ci sunu gise bu njëkk, yemul ciy loneti kese. Li ko taxoon a doy waar, ma fat ko ba fàww, moo doon na xoolinam dëgëre woon. Booleek ňaari ras-ras yay xàjjaley yéenam, lépp méngook deretu àngaleem, ba ci yéreem yu daŋ ya, mel ni masu leen a summi."
Cherche un autre cheval !,Seetal fas weneen !
Le voilà et le voilà !,Ya ŋgi te mi ŋgi !
Aucune dame ne s'est égarée.,Jigéen jenn réerul.
C'est d'autres chevaux que je veux !,Yeneen fas laa bëgg !
"Ce que tu m'as envoyé jusqu'à maintenant, la plupart sont des objets utiles. Il y a une théière, une machine de chauffage et un récipient.","Li nga ma yónnee ba tey, li ma ci gis ay jëfandikukaay la, baraada la ak mësin pour tàngalukaay ak xellikaay la."
"Le souvenir que je garde de ce temps pourrait être celui passé à bord d'un bateau, entre deux mondes.","Nun daal, dañoo meloon ni ñu caŋ ci biir gaal gu tag diggante ňaari àddina."
"Lui qui avait rompu avec Maurice et son passé colonial, et se moquait des planteurs et de leurs airs de grandeur, lui qui avait fui le conformisme de la société anglaise, pour laquelle un homme ne valait que par sa carte de visite, lui qui avait parcouru les fleuves sauvages de Guyane, qui avait pansé, recousu, soigné les chercheurs de diamants et les Indiens sous-alimentés ; cet homme ne pouvait pas ne pas vomir le monde colonial et son injustice outrecuidante, ses cocktails parties et ses golfeurs en tenue, sa domesticité, ses maîtresses d'ébène prostituées de quinze ans introduites par la porte de service, et ses épouses officielles pouffant de chaleur et faisant rejaillir leur rancœur sur leurs serviteurs pour une question de gants, de poussière ou de vaisselle cassée.","Moo ko taxoon a dogook Móris, waaye mu fekksi ko Afrig. Réewum Móris ak Tubaab ya doon noot ña fa fekk baax. Ak tamit boroomi tool yu réy a réy ya, ñoom ci seen bopp ñu fuuy ba dee. Baay dawoon na Àngalteer, ndax kàrt de wisit la ñu fay nattee nit. Dëddu loolu lépp taxoon koo xuus ca dex yu àlle ya ca Guwiyaan. Taxoon it muy fomp, di ňaw, di faj wutkati marjaan yeek Enjeŋ yi ndóoloon ba niróotuñu sax nit ; mënul woon a jaar ci jafe-jafe yooyu yépp te du suur nguurug Tubaab ba fàww. Ci dëgg-dëgg, doon na jafe mu weg gaa ñooñook seen i yérey golf, seeni ndajey càkkaay, ak niñ daan fowe jànqi dëkk bi, dem bay nekkaale léeg-léeg ak ay gone yu am fukki at ak juróom kese, ñu leen di jaarale ci seen buntu ginnaaw kër ndax rekk rus ñu gis leen ak jigéen ju dul Tubaab ni ñoom ; góori Móris ak seeni soxna yi dëkke jëwaate, tàngaay bi sonal leen, ñuy sippi seen mer ci seeni surga, di yuuxu ci seen kow subaak ngoon."
Je croyais que l'homme était mûr et que la femme était saine d'esprit !,Defewoon naa góor gi mag la te ndaw si nit la !
"Déjà, il avait perçu l'oubli tactique dans lequel les grandes puissances coloniales laissent le continent qu'elles ont exploité. Les tyrans mis en place avec l'aide de la France et de l'Angleterre, Bokassa, Idi Amin Dada, à qui les gouvernements occidentaux ont fourni armes et subsides pendant des années, avant de les désavouer.","Ni réewi Tubaab yi sàccee alalu Afrig ba deseetul dara, ñu ni ko fi ñukk ni yakk bu naqadi, neexu ko woon ; gisoon na itam Frãs ak Àngalteer ñuy jox i gànnaay seeni xuus-maa-njàpp niki Bokasaa ak Idi Amin Dadaa ba noppi xéy bés di leen tam dëmm. Fekk booba dañoo doyal ci ñoom doŋŋ."
Il s'agit d'autres.,Ñeneen lañu.
"Les fourmis, à Ogoja, étaient des insectes monstrueux de la variété exectoïde, qui creusaient leurs nids à dix mètres de profondeur sous la pelouse du jardin, où devaient vivre des centaines de milliers d'individus.","Mellentaani Ogosaa yee fi gënoon a raglu, daan gas seen néeg fa suuf gën a xóote. Lu mat junniy-junni ci ñoom a fa daan dëkkandoo."
Tu as discuté avec tous sauf avec ceux-là.,Waxtaan ŋga ag ñépp gannaaw nooñii.
"La savane, l'orage qui s'accumulait chaque après-midi, la brûlure du soleil sur nos têtes, et cette expression trop forte, presque caricaturale de la nature animale, c'est cela qui emplissait nos petites poitrines et nous lançait contre la muraille des termites, ces noirs châteaux hérissés contre le ciel.","Wànte tamit, lépp a nu daan soppi. Muy àll bi, di ngëlén yi, di asamaan si daan dajale saa yu tàkkusaan jotaan, loolu lépp a daan feesal sunuy dënni gone, daan nu xiir ci song jànj yeek xube yu ñuul ya ni woon jadd, jëm ca kow a kow."
L'homme qui partait,Góor gi doon dem
"S'ils chapardaient, ce ne pouvait être que des choses utiles, un morceau de gâteau, des allumettes, une vieille assiette rouillée.","Dañ doon jékkee-jékki sànneeku nig fett, daw sàcciy yëf ci biir kër gi, moo xam ngato la mbaa palaat bu màgget ba xuur mbaa leneen."
Je serais parti,Demkoon naa
Où est l'homme dont il parle ?,Ana góor gi mu wax ?
"Ceci est une photo sur laquelle je vois un poisson séché. Ce poisson séché semble énorme. Là où on l'a posé, auprès de la maison, est noirci.","Lii ab nataal la bob, nataal bi maa ngi ciy gis ag gejje. Géjje gi nag, gejje gi mel na ni réy na lool. Fi nu ko tek ca wet gale am na ay ñuul-ñuul."
"Ceux-ci sont de vieilles cases à l'intérieur desquelles des personnes marchent. Ceux qui ont froid, ils la couvrent avec une façade, des bâtons et des arbres.","Lii ay néegu ñax la, néegu ñax yu màggat ay nit di ci dox ci biir. Am na yi nga xam ne si nii dañ liiwe ay sàkket dañ ko muure ay sàkket ak ay bant ak ay garab."
"L'autre résidence d'un D.O. était à la frontière du Cameroun français, à Obudu, au pied des collines où habitaient encore les gorilles.","Beneen kërug « District Officer » a nga woon Kamerun ga Farañse yi yilifoon, ca Óbudu, ca taatu tund ya ay dàngin dëkkoon."
Il avait cru qu'il n'en partirait pas.,Masul a toog ba xalaat ni dina fa jógeji bés.
Cherche une autre jeune fille !,Seetal ndaw seneen !
"Pendant leurs premières années de mariage, mon père et ma mère ont vécu là leur vie amoureuse, à Forestry House et sur les routes du haut pays camerounais, jusqu'à Banso.","Ci at yu njëkk ya ci seenub séy, Baay ak sama yaay dund naň fa seen mbëggeel, moo xam ca Forestry House la woon mbaa ci taliy Kamerun yi jëmoon Bansoo."
S'exiler pour en tirer grand profit,Gàddaay ba far tebbi lu duun
À l'intérieur ! pour qu'il entre,Ci biir ! ndax mu dugg
L'Afrique était puissante.,Duma ko tàyyee wax. Kàttanu Afrig dafa jéggi woon dayo.
Je crois que c'est l'autre !,"Keneen ki la, defe naa !"
"L'odeur des corps aussi, le toucher, la peau non pas rude mais chaude et légère, hérissée de milliers de poils.","Fàttewuma xetu yaram yi. Yaram yu mel ni lu wow koŋŋ, fekk ñoo fi gën a woyof, nugg te bariy kawar, sëq ba nga ni lii lu mu doon."
"Ce n'est que longtemps après, quand l'égoïsme naturel aux enfants s'est estompé, que j'ai compris : ma mère, en vivant loin de mon père, avait pratiqué du fait de la guerre un héroïsme sans emphase, non par inconscience ni par résignation (même si la foi religieuse avait pu lui être d'un grand secours), mais par la force que faisait naître en elle une telle inhumanité.","Teg nañ ciy ati-at ma door a jëli ni jigéen, ni góor di wonee njàmbaar ci toolu-xare, la mën a toog biir këram moom tamit, wone fa njàmbaar gu ni tollu. Ni sama yaay daan doxalee ci geer bi, firnde la ci."
Regarde cette aumône.,Seetal sarax su.
Comment vas-tu ?,Nanga def ?
Ceux-ci ne partent peut-être pas !,Ñii dañu demul xanaa !
"Les meubles sculptés, en revanche, l'ont accompagné jusqu'en France.","Móobal yooyu nag, ya ca ëppon maanaa topp nañ ko ba Tugal."
"L'homme, lui, ne s'en alla pas !","Góor gi, moom demul !"
