french,wolof
Quelqu'un est parti !,Nit dem na !
Homme est parti !,Nit dem na !
Un homme est parti !,Nit dem na !
J'ai vu lion.,Gis naa gaynde.
J'ai vu un lion.,Gis naa gaynde.
Cet homme près de moi.,Nit kii ci sama wet.
Cet homme là près de toi.,Nit kookuu ci sa wet.
Tu vois cet homme là-bas ?,Gis ŋga nit kale ?
"Tu sais, cet homme ?",Gis ŋga nit kookale ?
Tu vois cet homme là ?,Gis ŋga nit kee ?
"Tu sais, cet homme là ?",Gis ŋga nit kookee ?
"Tu vois, cet homme là ?",Gis ŋga nit kookee ?
J'ai vu l'homme.,Gis naa nit ki.
J'ai vu la femme.,Gis naa jigéen ju.
Regarde ce lutteur.,Xoolal mbër mu.
Regarde ce semblant de lutteur.,Xoolal mbër mu.
Regarde cette aumône.,Seetal sarax su.
Tu as vu l'homme ?,Gis ŋga nit ka ?
"Tu as vu, auparavant, l'homme ?",Gis ŋga nit ka ?
Tu connaissais la jeune fille ?,Xamoon ŋga jaŋx ba ?
Tu reconnais cet individu-là ?,Xammee ŋga waa jooju ?
Tu avais reconnu la femme ?,Xammeewoon ŋga jigéen jooju ?
Cet homme a étudié,Nit kii jaŋg na
Ces jeunes gens sont sages.,Xale yile yarunañu.
Je parle de cette dame que voilà !,Jigéen jale laa wax !
Je parle de ce petit.,Xale buu laa wax.
Cette femme-ci n'est pas partie.,Jigéen jule demul.
Ces enfants que voilà ne sont pas sages.,Xale yule yaruwuñu.
Tu connais cet enfant là-bas ?,Xam ŋga xale bee ?
C'est ces livres là-bas que j'ai achetés !,Téere yee laa jënd !
Cause avec cet homme qui est à côté !,Waxtaanal ag nit kookii ci sa wet !
Tu vois ces femmes-là ?,Gis ŋga jigéen ñooñii ?
Nourris cette vache-ci !,Mayal nag wile !
Tu connais cet homme-là ?,Xam ŋga nit kookuu ?
Tu as vu ces jeunes gens ?,Gis ŋga xale yooyule ?
Je parle de la personne qui est sortie !,Nit kookuu génn laa wax !
Tu avais vu cette femme ?,Gisóon ŋga jigéen joojule ?
Je connaissais cet individu-là !,Xamoon naa waa joojee !
J'avais reconnu cette dame-là !,Xammeewoon naa jigéen joojale !
J'ai vu l'enfant.,Gis naa xale ba.
Je parle de cet homme-ci.,Kile nit laa wax.
Ce n'est pas là une belle parole !,Jile wax rafetul !
Cet homme là-bas que tu vois,Kee nit ŋgay gis
C'est ces livres-là qu'il m'a donnés.,Yee téere la ma jóox.
J'ai vu un mouton.,Gis naa am xar.
J'ai aperçu un homme.,Séen naa ak nit.
J'ai aperçu un homme.,Séen naa aw nit.
J'ai aperçu des gens.,Séen naa ay nit.
Quel homme s'est égaré ?,Nit kan a réer ?
Quel mouton s'est égaré ?,Xar man a réer ?
Quel cheval s'est égaré ?,Fas wan a réer ?
Quelle femme s'est égarée ?,Jigéen jan a réer ?
Quelle clé s'est égarée ?,Doom ban a réer ?
Quelle chose s'est égarée ?,Lëf lan a réer ?
Quelle jeune fille s'est égarée ?,Ndaw san a réer ?
Quelles personnes se sont égarées ?,Nit ñan ñoo réer ?
Quels moutons se sont égarés ?,Xar yan ñoo réer ?
Quels chevaux se sont égarés ?,Fas yan ñoo réer ?
Quelles femmes se sont égarées ?,Jigéen ñan ñoo réer ?
Quelles clés se sont égarées ?,Doom yan ñoo réer ?
Quelles choses se sont égarées ?,Yëf yan ñoo réer ?
Quels couteaux se sont égarés ?,Saatu yan ñoo réer ?
Tu parles de quel mouton ?,Xar moomu man ŋga wax ?
Tu parles de ce mouton ?,Xar moomu man ŋga wax ?
Quels moutons avais-tu achetés ?,Xar yii yan ŋga jënd ?
C'est ces moutons que tu avais achetés ?,Xar yii yan ŋga jënd ?
Que j'attrape quelles vaches ?,Ma japp nag yee yan ?
Qu'il attrappe quelles vaches ?,Mu japp nag yooyu yan ?
Tu parles de quelle maison ?,Boobu néeg ban ŋga wax ?
Tu parles de quelle maison ?,Bii néeg ban ŋga wax ?
Tu parles de quelle maison (ici) ?,Bii néeg ban ŋga wax ?
Vous parlez de quelle dame ?,Jile jigéen jan ŋgeen wax ?
Vous parlez de quelle dame (ici) ?,Jile jigéen jan ŋgeen wax ?
Quel cheval veux-tu ?,Woowale fas wan ŋga bëgg ?
Quel cheval veux-tu ?,Yooyale fas wan ŋga bëgg ?
Quels amis sont arrivés ?,Xarit yan ño ñëw ?
Fais sortir tout homme que tu vois !,Génnéel képp nit koo gis !
Fais sortir tout mouton que tu vois !,Génnéel mépp xar moo gis !
Fais sortir tout cheval que tu vois !,Génnéel wépp fas woo gis !
Fais sortir toute vache que tu vois !,Génnéel bépp nag woo gis !
Honore tout homme !,Teralal béppu nit !
Le mouton en entier.,Xar mi mépp.
"Ce boeuf-là, en totalité.",Nag woowa wépp.
Toute cette part que voici.,Wall wuu wépp.
Ce mouton-ci en entier.,Xar mii mépp.
Tout ce mouton.,Xar moomee mépp.
