french_corpus,wolof_corpus
Tout être humain est le résultat d'un père et une mère.,"Doomu-aadama bu, ne ci ndey ak baay nga jóge."
"On peut ne pas les reconnaître, ne pas les aimer, on peut douter d'eux.","Mënunu leen a baň a gërëm ak a bëgg, doonte sax mën nanoo am xel ňaar ci ňoom."
"Mais ils sont là, avec leur visage, leurs attitudes, leurs manières et leurs manies, leurs illusions, leurs espoirs, la forme de leurs mains et de leurs doigts de pied, la couleur de leurs yeux et de leurs cheveux, leur façon de parler, leurs pensées, probablement l'âge de leur mort, tout cela est passé en nous.","Waaye ňu ngi fi, ak seen xar-kanam, seen taxawaay, seen defin ak seen jikko, seeni njuumte, seeni yaakaar, seen melokaanu loxook baaraami tànk, seen meloy bët ak karaw, seen waxin, seeni xalaat, amaana sax at ma ňuy nar a génne àddina. Loolu lépp, day àgg fu sore ci nun."
"J'ai longtemps rêvé que ma mère était noire. Je m'étais inventé une histoire, un passé, pour fuir la réalité à mon retour d'Afrique, dans ce pays, dans cette ville où je ne connaissais personne, où j'étais devenu un étranger.","Bi ma delloo dëkk ba ma juddoo, dama faa meloon ni gan. Du kenn ku ma fa xam, safatul dara ci man. Li nu jóge Afrig jur ci man tiis wu réy. Su ma yaboo sax ni mënuma woon a nangu ni maak samay way-jur dëkkëtuñu Niseryaa. Ca laa tàmbalee gént ni sama yaay nit ku ñuul la, di sàkkal it sama bopp cosaan lu bees."
"Puis j'ai découvert, lorsque mon père, à l'âge de la retraite, est revenu vivre avec nous en France, que c'était lui l'Africain.","Àddinay dox ba Baay tollu ci noppalug liggéey, dellusi Tugal dëkk ak ňun. Ci la ma leere ni moom moomoo doon doomu Afrig."
Cela a été difficile à admettre.,Mu doon nag lu naqadee nangu.
"Il m'a fallu retourner en arrière, recommencer, essayer de comprendre.",Damaa mujjoon a delloo sama xel démb ngir lijjanti lépp la ca léjoon.
"En souvenir de cela, j'ai écrit ce petit livre.",Kon fàttalikoo meññ téere bu ndaw bii.
"De ce visage que j'ai reçu à ma naissance, j'ai des choses à dire.","Kanam gii ma judduwaale, am na lu bari lu ma ci mën a wax."
"D'abord, qu'il m'a fallu l'accepter.",Li ci jiitu moo di ne dama dem ba jàppe ko nattu bu ma war a nangu.
Affirmer que je ne l'aimais pas serait lui donner une importance qu'il n'avait pas quand j'étais enfant.,"Su ma nee soppuma ko woon, day mel ni dama koy jox maanaa ju mu amul woon ba may gone."
"Je ne le haïssais pas, je l'ignorais, je l'évitais. Je ne le regardais pas dans les miroirs.","Duma ne it baňoon naa ko. Dama ko daan fàtte, di ko moytu ba daawuma sax seetu."
"Pendant des années, je crois que je ne l'ai jamais vu.","Su ma ragalul woon fen, dinaa ni toog naa ay at teguma bët sama xar-kanam gii."
"Sur les photos, je détournais les yeux, comme si quelqu'un d'autre s'était substitué à moi.","Léeg-léeg ma génne nataali jamono jooju, seetlu ci ni ma daan dawalee samay bët suñ nuy portale, mel ni ku bëggul ñu xàmmee ko."
"À l'âge de huit ans à peu près, j'ai vécu en Afrique de l'Ouest, au Nigeria, dans une région assez isolée où, hormis mon père et ma mère, il n'y avait pas d'Européens, et où l'humanité, pour l'enfant que j'étais, se composait uniquement d'Ibos et de Yoroubas.","Daanaka bi ma tolloo ci juróom-ňetti at laa toxu Afrig sowu jant, ca Niseryaa, cib diiwaan bu dëddoo-dëddu ; maak samay ñaari way-jur rekk ñoo fa doon i tubaab, te it masuma faa digaaleek ku dul Ibo mbaa Yoruba."
