french,wolof
À une autre fois.,Ba beneen.
J'ai vu celui dont il fut question.,Gis naa ka woon.
Tu reconnais cet enfant-ci ?,Xammee ŋga xale bee ?
Qu'il parte s'il ne veut pas !,"Su bëggul, na dem !"
Ceux-là n'ont pas été,Nee dañu demul woon
Tu vois ces femmes-là ?,Gis ŋga jigéen ñooñii ?
Ceux-ci sont des portes que les menuisiers métalliques ont conçues. Les portes ont été conçues et étalées pour être ensuite peintes en gris. Il semble que la porte soit en réalité deux portes de sorte à ce qu'elle ressemble à une porte de salon.,"Waaw nataal bii de ay bunt yu dóomu-taal moo ci nekk. Bunt yi ëe dafa dóoomu-taal waawaw! Am na ay lu mel ni ay fu ngelaw di jaar boo ko xëccee waaw! Mën nga, mën nga ko xëcc, bunt yi waaw. Du benn bunt nag."
Attache tout mouton !,Yeewal bépp xar !
Quel moutons est égaré ?,Man xar moo réer ?
À l'intérieur : où il fait clair,Ci bir : foofu di leer
Les quels moutons t'appartiennent ?,Xar yooyu yan ŋga moom ?
"Les gens n'étaient pas, habituellement, bavards.",Nit ñi daawuñu coow.
Ta mère dit qu'elle viendra ce soir.,Sa yay nee dana ñëw ci ŋgoon.
Tu as vu ces jeunes gens ?,Gis ŋga xale yooyule ?
Il t'a fait un cadeau pour que les enfants soient contents et que toi aussi tu les accompagnes.,May na la ndax xale yi beg te it ŋga ànd ak ñom.
C'est leurs dents !,Seni gëñ la !
Mais cet homme est parti,Gor gii dem
"Cette photo ci, c'est une photo sur laquelle il y a un faîte de case. Ce faîte est posé au-dessus et il contient de l'argile. C'est assurément avec de l'argile qu'on l'a conçue. En plus il a une porte faite en zinc et il y a du bois avec de l'herbe.","Nataal bii de nataal la boo xam ne néegu puj la, néegu puj bi nag dañ koo teg ci kaw waaw ba noppi mu am ay ban, ban lañ ko defare daal. Ba noppi mu am bunt boo xam ne bunt bi zinc la waaw ba noppi am ay dénk mu am ñax."
Eux parleront,Ñoom danañu wax
"Te voilà, là.",Yaa ŋgoogule.
"Dans ce cas, je pars","Bon nag, maa ŋgi dem"
Tu as été quelqu'un !,Nit ŋga !
L'aumône eut été une bonne chose !,Sarxe baaxkoon na !
"Celui-là, lui, il refusera !","Kookule, moom, du naŋgu !"
C'est un homme âgé de par ses années.,Mag la ndax iy atam.
Il parle de qui de vous ?,Yéen ñan la wax ?
"Ici, jusqu'à ce qu'il vienne !","Ci fii, ba ma ñëw"
Donne un à chacun !,Mayal benn ñépp !
C'est moi qui dois partir,Maa di dem
"Le voilà, là-bas, qui s'en va",Mu ŋgooguu di dem
"Lui, aussi !",Moom daal !
Que tu partes,Na ŋga dem
