french,wolof
Nous ne l'eussions pas vu,Giskoonuñu ka
Il viendra que tu veuilles ou non !,Ŋga dem ŋga bañ dem dana ñëw !
C'est notre ami !,Suñu sarit la !
Il est parti il y a un instant.,Demna saŋx.
Appelle les enfants qui n'iront nulle part.,Wool xale yi dul dem fenn.
Tu as regardé dans cette chambre-ci ?,Seet ŋga buu néeg ?
"L'homme est parti, je crois !","Góor gi dem na, ma defe !"
Toi tu eusses été notre guide.,Yaw doonkoon ŋga suñu njiit.
Un lézard par là !,Sindax bi ci foofuu !
Appelle celui-là qui ne part pas,Wool kee dul dem
Tu as vu l'homme ?,Gis ŋga nit ki ?
"C'est Fatim, si on va au fond des choses !",Faatim la soo demee !
C'est un homme mûr véritablement !,Mag dëgg là !
À l'intérieur tout simplement !,Ci biir doŋŋ !
Qui d'autre veut partir ?,Keneen kan moo bëgg dem ?
Un homme vertueux a disparu !,Góor gu baax réer na !
Confie la chose à l'un !,Deŋkël lëf li kenn ki !
Je fus Laobé.,Laobe lë woon.
Le voilà et le voilà !,Ya ŋgi te mi ŋgi !
C'est toi-même !,Yaw mile la !
"Et pourtant, je l'ai vu","Moontin dey, gis naa ka"
Toute cette part que voici.,Wall wuu wépp.
"Quand on ira, tout ira !",Bu nu demee lépp baax !
Moi je n'irai pas,Man demuma
J'irai aujourd'hui !,Tay danaa dem !
"Mais, les enfants sont toute-fois méchants.","Wande it, xale yi dañu soxor."
L'homme partit,Góor gi dem
Où puis-je m'asseoir ?,Ma toog fan ?
Donne deux fois rien que là !,Joxeel foofu doŋŋ ñari yoon !
Lesquels as-tu vus ?,Ñépp ñan ŋga gis ?
Qu'il attrappe quelles vaches ?,Mu japp nag yooyu yan ?
Tu aurais été sans l'y trouver.,Ya ŋgi demkoon doo ka fa fekk.
C'est la ville de ce Sérère.,Dëkku Séeréer bii la.
L'individu serait parti,Waa ji demkoon na
C'est un maître de maison.,Boroom kër la.
Tout autre mouton que tu vois.,Meneen xar mépp moo gis.
À l'intérieur ! pour qu'il entre,Ci biir ! ndax mu dugg
Tu pries pour quoi ?,Looy ñaan ?
C'est Samba que tu appelles ?,Samba ŋga woo ?
Je parle de ces autres individus !,Nit ñenn ñooñii laa wax !
L'homme n'est pas venu.,Góor gi rekk a ñëwul.
Sois avec politesse !,Àndal ak yar !
J'ai donné le livre à l'homme qui est venu.,Jox naa téere bi góor gi ñëw.
Quels chevaux se sont égarés ?,Fas yan ñoo réer ?
Dites-lui,Nileen ka
"Chez les Sérère, les Peul, les Niominka...","Ci Séeréer si, ci Pël yi, ci Ñomiŋka yi..."
Samba  qui est venu ?,Samba  mi ñëw ?
Je crois que c'est l'homme !,"Góor gi la, yaakaar naa !"
Quelqu'un peut-il partir ?,Ndax kenn dem ?
Que personne n'est parti,Kenn demul mbaa
J'ai vu celui en question.,Gis naa ki woon.
Il est là.,Ma ŋgoogule foofu.
Tu as vu le fils de quelle femme ?,Gis ŋga doomu jigéen jan ?
Quels moutons ?,Xar yile yan ?
Il parle de qui de vous ?,Yéen ñan la wax ?
Celui-là n'est pas venu seul.,Kooku rekk ñëwul.
L'un lequel n'as-tu pas vu ?,Benn ban ŋga gisul ?
J'ai vu une vache d'Europe.,Gis naa nagu Tugal.
Il aime le chameau.,Bëgg na gëléem.
Le roi est souverain ici.,Buur bi buur la fii.
Qui est parti ?,Ku dem
"Le voilà, il est unique en son genre.","Mi ŋgi, benn la ci ndàyam."
L'homme ira,Góor gi dana demi
Quel autre ?,Leneen lan ?
Surtout rentrez chez vous !,Te nag ŋgeen dem ñibbi !
Parle avec Samba seulement !,Waxal ag Samba rekk !
Tu as vu celui-là ?,Gis ŋga kookale ?
Qui vois-tu ?,Koo gis?
Vous êtes aussi avares qu'eux !,Daŋgeen bëggé naka ñoom !
Aucun mouton ne s'est égaré.,Menn xar réerul.
Ne partez pas,Buleen dem
Chez l'autre qui est arrivé.,Ci keneen ki ñëw.
Parle avec ceux-là !,Waxal ak ñooñule !
On croyait que tu allais partir matin et soir !,Dañu defewoon ni daa dem ci subë ag ci ŋgoon yépp !
Cet homme près de moi et celui là près de toi sont parents.,Nit ki ci sama wet ak nit kooku mbokk la ñu.
"Un, il est.",Menn la.
Il a vu d'autres amis à vous !,Gis na seen yeneen xarit !
C'est lui qui part.,Dafa di dem.
"Les moutons sont peut-être déjà arrivés, mais j'en n'ai encore vu aucun.","Xëynë xar yi ñëw nañu, wante gisaguma wenn."
Va voir tous les hommes !,Seetil nit ñépp !
Là où tu as été là.,Foofu ŋga dem fu.
Il s'agit d'autres.,Ñeneen lañu.
"Tu ne veux ni argent, ni fortune.",Bëggulóo xaalis walla alal.
"Vous, vous voulez",Yéen bëgg ŋgeen
Vous partez,Dem ŋgeen
Alors qu'il sera en train de partir,Su dee dem
Ceux-ci ne partent peut-être pas !,Ñii dañu demul xanaa !
C'est l'homme qui n'a pas été,Góor gi moo demulwoon
J'ai vu cet enfant-là ?,Gis naa booba xale ?
Il a vu mes autres amis !,Gis na sama xarit yeneen yooyuu !
Quelles clés se sont égarées ?,Doom yan ñoo réer ?
