french,wolof
"La marmite, si elle doit être délicieuse, quand elle sera en train de bouillir, elle sentira.","Cin, su naree neex, bu baxee, xeeñ."
"L'homme et ses désirs, Dieu et sa décision.","Nit ak bëgg-bëggam, Yàlla ak dogalam."
C'est avec l'esprit avec lequel tu as creusé le puits qu'un autre va y boire.,Xel mi nga gase teen bi la ci keneen di naane.
"Une langue ne mange pas son semblable, si on ne l'a pas cuite.","Làmmiñ du lekk morom ma, te toggeesu ko."
"Si ton talent de cavalier te pousse à monter sur un porc-épic à cru, après ça, tu n'achèteras plus que des selles avec ce que te rapporte la terre.","Su la mën ngawar jayee ba nga mafñàndum saaw, boo fa jógee, loo bayati jënde kog teg."
Premier don.,May-gu-jëkk.
Cadeau de fiançailles.,May-gu-jëkk.
"La langue ne mange pas son semblable, sans qu'on ne l'ait cuite.","Làmmiñ du lekk morom ma, te toggeesu ko."
Un aveugle a le temps d'autre chose qui n'est pas d'enfiler des aiguilles.,Gumba tal na leneen lu dul nas i puso.
L'aveugle a autre chose à faire que d'enfiler des aiguilles.,Gumba tal na leneen lu dul nas i puso.
"Le bonnet que tu mesures à ta tête, il n'y sied pas, ne le mesure pas à la tête de ton prochain.","Mbaxana moo natt ci sa bopp, jekku ca, bu ko natt ci sa boppu nawle."
"Le chapeau qui ne te va pas, ne l'essaie pas à ton pair.","Mbaxana moo natt ci sa bopp, jekku ca, bu ko natt ci sa boppu nawle."
"C'est observer qui est mieux dans une réunion.",Seetaan a dàq cim ndaje.
"La meilleur attitude à avoir dans une réunion, c'est d'observer.",Seetaan a dàq cim ndaje.
"L'aide, qu'elle y trouve la main de l'intéressé.","Ndimmal, na ci fekk loxol borom."
"Celui qui porte un pantalon en graisse ne se réchauffe pas.",Ku sol tubéyu nékk du jaaru.
Un oeuf ne lutte pas avec un caillou.,Nen du bëre ak doj.
"Qui te dit : « offre tes biens », c'est ton remerciement qu'il veut.","Ku la ne : « mayeel sa alal », sa ngërëm la bëgg."
Il faut encore un attisement pour cette longue cuisson.,Njaw des na aw xambin.
"Celui qui est plus grand que toi, tu lui dis « le grand ».","Ku la sut, nga ne ko njool mi."
"Pour se reposer, finir est ce qu'il y a de mieux à faire.","Noppaliku, noppee ci gën."
Je ne voudrais pas ce qui te plaît au point de te dire Dieu te salue.,Duma bëgg lu la neex ba ne la Yàllaa ngi lay nuyu.
Celui à qui Dieu lance une flèche ne pourra pas la parer.,"Ku Yàlla sànni fitt, doo ko mëna pakku."
"Qui dîne avec le couscous de la veille, quand tu seras malade, tu ne dîneras pas.","Kuy reere pann, boo woppee fande."
"L'oiseau, ce qu'il dit sur la branche de l'arbre, il ne le dit pas entre les mains d'un enfant.","Picc, la muy wax ca banqaasu garab, du ko wax ci loxol gone."
"L'oiseau ne dit pas la même chose quand il est dans l'arbre et quand il est entre les mains d'un enfant.","Picc, la muy wax ca banqaasu garab, du ko wax ci loxol gone."
La chèvre ne glane pas de jujubes la nuit.,Bëy du raas déemi guddi.
Le poltron ne fusille pas le baobab.,Ragal du jam guy.
"Un mort quand il dépasse le cimetière, son enterrement ne sera plus aisé.","Néew, bu rombee ay armeel, robam dootul neex."
"Durer n'est pas du savon, mais il lessive.","Yàgg du saabu, waaye dina fóot."
"C'est toi qui as battu le ndënd, c'est toi qui as battu le sabar.","Yaa tulli, yaa sabaru."
Ton corps est-il en paix ?.,Sa yaram jàmm bonjour !
"Généreux, avec tes biens !",Yéwén : ci sa alal !
"Sois généreux, mais avec tes propres biens !",Yéwén : ci sa alal !
"Qui a broyé les os de la hyène, aura broyé les os d'un broyeur.","Ku yéy yaxi bukki, yéy yaxi yéykat."
"L'enfant, c'est un plant de courge qui rampe; si tu ne retournes pas, elle rampe où il ne te plaît pas.","Gone, lawtanu yomb la; boo walbatiwul, mu law fu la neexul."
"Dieu, Dieu, cultive ton champ.","Yàlla, Yàlla, bay sa tool."
