"Name","learning_rate","weight_decay","random_state","fr_char_p","fr_word_p","train_batch_size","train/loss","eval/loss","eval/bleu"
"curious-sweep-49","0.0009730017127005212","0.2","53","0.29023329336326004","0.22468109268457295","32","0.8333","0.6030430197715759","0"
"laced-sweep-48","0.037827036928709326","0.3","32","0.2685508144629027","0.3137817577563962","32","1.8954","0.5591679811477661","0"
"silvery-sweep-47","0.000111137052435095","0.4","44","0.6435262749145765","0.23555072847769593","32","1.3678","0.8896654844284058","0"
"faithful-sweep-46","0.019780562023130287","0.2","49","0.5425831216172401","0.6281649904525284","32","0.8975","0.5479505658149719","0"
"young-sweep-45","0.024882505427801873","0","31","0.5119305183533809","0.6104947359524154","16","0.6726","0.575547456741333","0"
"stellar-sweep-44","0.06359279074232077","0","64","0.5447572673031043","0.6018441804771943","16","2.304","0.8296812772750854","0"
"lilac-sweep-43","0.00925921307239672","0.4","78","0.6669834414040667","0.896287407783825","16","0.6374","0.4575461149215698","1.3015"
"effortless-sweep-42","0.0010252317189639655","0.2","38","0.7190666345697092","0.49642394581801214","32","0.8854","0.573462963104248","0"
"genial-sweep-41","0.0010078354253303743","0.2","2","0.35813825417221445","0.2693927917092815","16","0.7042","0.509487509727478","0.0002"
"faithful-sweep-40","0.0012629102216024336","0","45","0.30754223646923773","0.6609402503449462","32","0.7473","0.591506838798523","0"
"twilight-sweep-39","0.0009670414408588","0.3","26","0.9212539602689432","0.7538021258273098","32","0.8203","0.555792510509491","0"
"restful-sweep-38","0.04776681691912023","0","49","0.3448524198677817","0.390361124586569","32","2.8066","2.5954763889312744","0"
"fragrant-sweep-37","0.03435780506108206","0.2","60","0.9993980722487712","0.3681052546148837","16","2.2735","0.7521097660064697","0"
"young-sweep-36","0.00215461106235626","0","4","0.3987197979448549","0.3303424776522219","32","0.7911","0.5601440668106079","0"
"misty-sweep-35","0.0003981916278310366","0.1","30","0.8191602748812084","0.3208678558769945","16","0.7967","0.6120412349700928","0"
"grateful-sweep-34","0.021767035428698484","0.3","73","0.30549700644532374","0.7335328361073488","16","1.3782","0.6528416275978088","0"
"summer-sweep-33","0.0003235264031870901","0.3","60","0.7331928578545781","0.3463959392626625","16","0.8154","0.594845712184906","0"
